company_id,nama_perusahaan,sektor,wilayah_operasional,tahun_listing
COMP-0060,PT Utama Tbk No. 60,Energi & Pertambangan,Jawa Timur,2014
COMP-0061,PT Indo Persada No. 61,Keuangan,Jawa Barat,2023
COMP-0062,PT Citra Abadi No. 62,Konsumer Primer,Jawa Barat,2010
COMP-0063,PT Nusantara Sentosa No. 63,Teknologi & Informasi,DKI Jakarta,2012
COMP-0064,PT Artha Sejahtera No. 64,Keuangan,Jawa Barat,2013
COMP-0065,PT Utama Abadi No. 65,Kesehatan,Jawa Barat,2014
COMP-0066,PT Artha Abadi No. 66,Teknologi & Informasi,Jawa Timur,2019
COMP-0067,PT Citra Lestari No. 67,Energi & Pertambangan,Jawa Timur,2018
COMP-0068,PT Bumi Persada No. 68,Infrastruktur,Sumatera Utara,2013
COMP-0069,PT Bina Sejahtera No. 69,Infrastruktur,DKI Jakarta,2012
COMP-0070,PT Sumber Sentosa No. 70,Teknologi & Informasi,Jawa Barat,2019
COMP-0071,PT Indo Abadi No. 71,Infrastruktur,DKI Jakarta,2010
COMP-0072,PT Bina Abadi No. 72,Keuangan,Kalimantan Timur,2022
COMP-0073,PT Nusantara Energi No. 73,Teknologi & Informasi,Jawa Barat,2019
COMP-0074,PT Bina Tbk No. 74,Konsumer Primer,DKI Jakarta,2015
COMP-0075,PT Artha Tbk No. 75,Keuangan,Sumatera Utara,2016
COMP-0076,PT Citra Abadi No. 76,Keuangan,Sumatera Utara,2019
COMP-0077,PT Sumber Jaya No. 77,Keuangan,Jawa Barat,2024
COMP-0078,PT Bina Sejahtera No. 78,Konsumer Primer,Kalimantan Timur,2017
COMP-0079,PT Nusantara Karya No. 79,Energi & Pertambangan,Sumatera Utara,2021
COMP-0080,PT Indo Jaya No. 80,Kesehatan,Sumatera Utara,2010
COMP-0081,PT Sumber Jaya No. 81,Infrastruktur,Kalimantan Timur,2021
COMP-0082,PT Bina Sentosa No. 82,Teknologi & Informasi,DKI Jakarta,2013
COMP-0083,PT Nusantara Energi No. 83,Energi & Pertambangan,Sumatera Utara,2020
COMP-0084,PT Indo Sentosa No. 84,Teknologi & Informasi,Jawa Timur,2014
COMP-0085,PT Utama Makmur No. 85,Infrastruktur,Sulawesi Selatan,2011
COMP-0086,PT Citra Energi No. 86,Konsumer Primer,Sulawesi Selatan,2010
COMP-0087,PT Mega Energi No. 87,Keuangan,Sumatera Utara,2017
COMP-0088,PT Surya Energi No. 88,Keuangan,DKI Jakarta,2015
COMP-0089,PT Nusantara Makmur No. 89,Konsumer Primer,DKI Jakarta,2014
COMP-0090,PT Bumi Lestari No. 90,Energi & Pertambangan,Jawa Barat,2022
COMP-0091,PT Utama Sejahtera No. 91,Energi & Pertambangan,Jawa Timur,2018
COMP-0092,PT Nusantara Energi No. 92,Teknologi & Informasi,DKI Jakarta,2022
COMP-0093,PT Citra Makmur No. 93,Konsumer Primer,Kalimantan Timur,2020
COMP-0094,PT Mega Persada No. 94,Energi & Pertambangan,Jawa Timur,2022
COMP-0095,PT Sumber Abadi No. 95,Konsumer Primer,Sulawesi Selatan,2020
COMP-0096,PT Artha Abadi No. 96,Infrastruktur,Jawa Timur,2011
COMP-0097,PT Surya Energi No. 97,Keuangan,Kalimantan Timur,2019
COMP-0098,PT Sumber Jaya No. 98,Keuangan,Sumatera Utara,2021
COMP-0099,PT Mega Sentosa No. 99,Keuangan,Kalimantan Timur,2017
COMP-0100,PT Bumi Lestari No. 100,Konsumer Primer,Kalimantan Timur,2020
COMP-0101,PT Sumber Energi No. 101,Konsumer Primer,Sumatera Utara,2023
COMP-0102,PT Bina Lestari No. 102,Teknologi & Informasi,Sumatera Utara,2019
COMP-0103,PT Citra Sentosa No. 103,Keuangan,Sumatera Utara,2022
COMP-0104,PT Artha Karya No. 104,Teknologi & Informasi,Sumatera Utara,2018
COMP-0105,PT Indo Karya No. 105,Keuangan,Sumatera Utara,2010
COMP-0106,PT Citra Sentosa No. 106,Teknologi & Informasi,Kalimantan Timur,2016
COMP-0107,PT Utama Sentosa No. 107,Teknologi & Informasi,Jawa Barat,2017
COMP-0108,PT Bina Energi No. 108,Infrastruktur,Jawa Barat,2012
COMP-0109,PT Surya Abadi No. 109,Teknologi & Informasi,DKI Jakarta,2023
COMP-0110,PT Bumi Jaya No. 110,Konsumer Primer,Jawa Barat,2013
COMP-0111,PT Nusantara Tbk No. 111,Teknologi & Informasi,Sulawesi Selatan,2022
COMP-0112,PT Bina Makmur No. 112,Keuangan,Jawa Barat,2012
COMP-0113,PT Utama Persada No. 113,Teknologi & Informasi,Kalimantan Timur,2016
COMP-0114,PT Citra Abadi No. 114,Energi & Pertambangan,Sumatera Utara,2018
COMP-0115,PT Indo Tbk No. 115,Kesehatan,Sumatera Utara,2012
COMP-0116,PT Artha Energi No. 116,Keuangan,Kalimantan Timur,2022
COMP-0117,PT Bumi Energi No. 117,Energi & Pertambangan,Sulawesi Selatan,2015
COMP-0118,PT Mega Sejahtera No. 118,Keuangan,Jawa Barat,2017
COMP-0119,PT Utama Tbk No. 119,Konsumer Primer,Kalimantan Timur,2015
COMP-0120,PT Bina Karya No. 120,Kesehatan,DKI Jakarta,2011
COMP-0121,PT Citra Karya No. 121,Kesehatan,Sumatera Utara,2022
COMP-0122,PT Artha Jaya No. 122,Konsumer Primer,Jawa Timur,2016
COMP-0123,PT Sumber Jaya No. 123,Kesehatan,DKI Jakarta,2011
COMP-0124,PT Nusantara Jaya No. 124,Konsumer Primer,Sulawesi Selatan,2011
COMP-0125,PT Artha Energi No. 125,Energi & Pertambangan,DKI Jakarta,2011
COMP-0126,PT Surya Sentosa No. 126,Infrastruktur,Kalimantan Timur,2020
COMP-0127,PT Sumber Jaya No. 127,Keuangan,Jawa Barat,2024
COMP-0128,PT Artha Karya No. 128,Konsumer Primer,Sumatera Utara,2010
COMP-0129,PT Bina Karya No. 129,Keuangan,Sulawesi Selatan,2023
COMP-0130,PT Bina Makmur No. 130,Energi & Pertambangan,Sulawesi Selatan,2020
COMP-0131,PT Bumi Makmur No. 131,Infrastruktur,Jawa Timur,2010
COMP-0132,PT Sumber Karya No. 132,Energi & Pertambangan,DKI Jakarta,2023
COMP-0133,PT Bina Sentosa No. 133,Kesehatan,Jawa Timur,2016
COMP-0134,PT Nusantara Sentosa No. 134,Keuangan,Jawa Barat,2024
COMP-0135,PT Nusantara Sejahtera No. 135,Infrastruktur,Jawa Barat,2022
COMP-0136,PT Artha Jaya No. 136,Kesehatan,Jawa Timur,2023
COMP-0137,PT Surya Abadi No. 137,Infrastruktur,Sumatera Utara,2023
COMP-0138,PT Citra Energi No. 138,Kesehatan,Jawa Barat,2024
COMP-0139,PT Nusantara Karya No. 139,Energi & Pertambangan,Jawa Timur,2023
COMP-0140,PT Sumber Abadi No. 140,Konsumer Primer,DKI Jakarta,2021
COMP-0141,PT Sumber Lestari No. 141,Keuangan,Jawa Timur,2014
COMP-0142,PT Sumber Karya No. 142,Teknologi & Informasi,Jawa Timur,2020
COMP-0143,PT Sumber Jaya No. 143,Teknologi & Informasi,Kalimantan Timur,2012
COMP-0144,PT Bumi Sejahtera No. 144,Energi & Pertambangan,Jawa Barat,2010
COMP-0145,PT Nusantara Energi No. 145,Keuangan,Sumatera Utara,2020
COMP-0146,PT Mega Karya No. 146,Keuangan,Sumatera Utara,2019
COMP-0147,PT Artha Karya No. 147,Energi & Pertambangan,Kalimantan Timur,2015
COMP-0148,PT Nusantara Energi No. 148,Keuangan,Sulawesi Selatan,2020
COMP-0149,PT Mega Lestari No. 149,Konsumer Primer,Sumatera Utara,2010
COMP-0150,PT Citra Tbk No. 150,Energi & Pertambangan,Jawa Timur,2018
COMP-0151,PT Mega Jaya No. 151,Konsumer Primer,Kalimantan Timur,2011
COMP-0152,PT Nusantara Sejahtera No. 152,Keuangan,DKI Jakarta,2010
COMP-0153,PT Citra Energi No. 153,Energi & Pertambangan,Jawa Barat,2024
COMP-0154,PT Artha Sejahtera No. 154,Keuangan,Jawa Barat,2021
COMP-0155,PT Utama Energi No. 155,Energi & Pertambangan,Jawa Barat,2016
COMP-0156,PT Citra Makmur No. 156,Keuangan,Jawa Timur,2015
COMP-0157,PT Bina Persada No. 157,Konsumer Primer,DKI Jakarta,2015
COMP-0158,PT Sumber Persada No. 158,Konsumer Primer,Kalimantan Timur,2023
COMP-0159,PT Citra Jaya No. 159,Keuangan,Kalimantan Timur,2014
COMP-0160,PT Surya Makmur No. 160,Energi & Pertambangan,Jawa Barat,2020
COMP-0161,PT Sumber Abadi No. 161,Teknologi & Informasi,DKI Jakarta,2013
COMP-0162,PT Bumi Persada No. 162,Konsumer Primer,DKI Jakarta,2020
COMP-0163,PT Bumi Persada No. 163,Konsumer Primer,DKI Jakarta,2013
COMP-0164,PT Nusantara Jaya No. 164,Kesehatan,Sumatera Utara,2012
COMP-0165,PT Nusantara Tbk No. 165,Teknologi & Informasi,Sumatera Utara,2019
COMP-0166,PT Sumber Abadi No. 166,Keuangan,Jawa Barat,2017
COMP-0167,PT Indo Abadi No. 167,Energi & Pertambangan,DKI Jakarta,2016
COMP-0168,PT Indo Karya No. 168,Kesehatan,Sulawesi Selatan,2018
COMP-0169,PT Bumi Tbk No. 169,Keuangan,DKI Jakarta,2010
COMP-0170,PT Surya Persada No. 170,Infrastruktur,Kalimantan Timur,2016
COMP-0171,PT Utama Tbk No. 171,Konsumer Primer,Kalimantan Timur,2019
COMP-0172,PT Artha Sentosa No. 172,Infrastruktur,Jawa Barat,2013
COMP-0173,PT Nusantara Jaya No. 173,Konsumer Primer,Sulawesi Selatan,2016
COMP-0174,PT Citra Abadi No. 174,Konsumer Primer,DKI Jakarta,2022
COMP-0175,PT Bumi Makmur No. 175,Infrastruktur,Sulawesi Selatan,2021
COMP-0176,PT Utama Lestari No. 176,Infrastruktur,Jawa Barat,2010
COMP-0177,PT Citra Tbk No. 177,Keuangan,Kalimantan Timur,2014
COMP-0178,PT Indo Lestari No. 178,Kesehatan,Kalimantan Timur,2012
COMP-0179,PT Indo Persada No. 179,Kesehatan,Sumatera Utara,2014
COMP-0180,PT Sumber Energi No. 180,Infrastruktur,Jawa Barat,2013
COMP-0181,PT Artha Persada No. 181,Keuangan,Jawa Barat,2011
COMP-0182,PT Sumber Lestari No. 182,Kesehatan,DKI Jakarta,2020
COMP-0183,PT Mega Energi No. 183,Keuangan,DKI Jakarta,2013
COMP-0184,PT Surya Sejahtera No. 184,Keuangan,Sumatera Utara,2012
COMP-0185,PT Mega Abadi No. 185,Konsumer Primer,Jawa Timur,2022
COMP-0186,PT Artha Lestari No. 186,Kesehatan,Sulawesi Selatan,2010
COMP-0187,PT Artha Karya No. 187,Kesehatan,Jawa Timur,2021
COMP-0188,PT Utama Jaya No. 188,Konsumer Primer,Jawa Timur,2019
COMP-0189,PT Artha Makmur No. 189,Infrastruktur,Jawa Barat,2017
COMP-0190,PT Indo Karya No. 190,Konsumer Primer,Sulawesi Selatan,2024
COMP-0191,PT Nusantara Jaya No. 191,Kesehatan,Jawa Barat,2014
COMP-0192,PT Citra Persada No. 192,Kesehatan,Sulawesi Selatan,2013
COMP-0193,PT Utama Persada No. 193,Infrastruktur,Kalimantan Timur,2019
COMP-0194,PT Mega Persada No. 194,Konsumer Primer,Jawa Barat,2021
COMP-0195,PT Mega Abadi No. 195,Energi & Pertambangan,Jawa Barat,2014
COMP-0196,PT Bina Sejahtera No. 196,Energi & Pertambangan,Jawa Barat,2013
COMP-0197,PT Nusantara Persada No. 197,Infrastruktur,Sumatera Utara,2012
COMP-0198,PT Indo Energi No. 198,Konsumer Primer,Jawa Barat,2014
COMP-0199,PT Bumi Lestari No. 199,Konsumer Primer,DKI Jakarta,2013
COMP-0200,PT Bina Jaya No. 200,Keuangan,DKI Jakarta,2024
COMP-0201,PT Mega Energi No. 201,Kesehatan,Sulawesi Selatan,2010
COMP-0202,PT Utama Sejahtera No. 202,Teknologi & Informasi,Kalimantan Timur,2021
COMP-0203,PT Sumber Abadi No. 203,Infrastruktur,Sumatera Utara,2012
COMP-0204,PT Citra Persada No. 204,Teknologi & Informasi,Sulawesi Selatan,2019
COMP-0205,PT Citra Sejahtera No. 205,Teknologi & Informasi,DKI Jakarta,2024
COMP-0206,PT Sumber Tbk No. 206,Infrastruktur,Sumatera Utara,2019
COMP-0207,PT Mega Energi No. 207,Konsumer Primer,Sumatera Utara,2017
COMP-0208,PT Artha Sejahtera No. 208,Infrastruktur,Kalimantan Timur,2016
COMP-0209,PT Indo Persada No. 209,Teknologi & Informasi,Sumatera Utara,2011
COMP-0210,PT Mega Abadi No. 210,Kesehatan,Jawa Barat,2010
COMP-0211,PT Artha Energi No. 211,Kesehatan,Sumatera Utara,2012
COMP-0212,PT Mega Abadi No. 212,Kesehatan,Kalimantan Timur,2014
COMP-0213,PT Indo Persada No. 213,Konsumer Primer,Sulawesi Selatan,2019
COMP-0214,PT Sumber Sejahtera No. 214,Energi & Pertambangan,Kalimantan Timur,2024
COMP-0215,PT Artha Makmur No. 215,Infrastruktur,Kalimantan Timur,2020
COMP-0216,PT Artha Persada No. 216,Kesehatan,DKI Jakarta,2021
COMP-0217,PT Indo Karya No. 217,Infrastruktur,Jawa Barat,2010
COMP-0218,PT Indo Energi No. 218,Kesehatan,DKI Jakarta,2012
COMP-0219,PT Surya Sejahtera No. 219,Konsumer Primer,Sulawesi Selatan,2012
COMP-0220,PT Artha Jaya No. 220,Energi & Pertambangan,Jawa Timur,2014
COMP-0221,PT Utama Makmur No. 221,Energi & Pertambangan,Sulawesi Selatan,2012
COMP-0222,PT Nusantara Sentosa No. 222,Kesehatan,Jawa Barat,2022
COMP-0223,PT Surya Makmur No. 223,Konsumer Primer,Sumatera Utara,2018
COMP-0224,PT Citra Energi No. 224,Keuangan,Kalimantan Timur,2010
COMP-0225,PT Nusantara Karya No. 225,Infrastruktur,Jawa Timur,2013
COMP-0226,PT Mega Karya No. 226,Infrastruktur,Jawa Barat,2022
COMP-0227,PT Nusantara Energi No. 227,Teknologi & Informasi,DKI Jakarta,2022
COMP-0228,PT Surya Persada No. 228,Konsumer Primer,Kalimantan Timur,2019
COMP-0229,PT Bumi Karya No. 229,Teknologi & Informasi,Sulawesi Selatan,2019
COMP-0230,PT Bumi Karya No. 230,Kesehatan,DKI Jakarta,2013
COMP-0231,PT Utama Energi No. 231,Teknologi & Informasi,Jawa Barat,2010
COMP-0232,PT Indo Jaya No. 232,Energi & Pertambangan,Jawa Barat,2023
COMP-0233,PT Indo Persada No. 233,Infrastruktur,Sulawesi Selatan,2011
COMP-0234,PT Indo Makmur No. 234,Teknologi & Informasi,Jawa Timur,2020
COMP-0235,PT Citra Tbk No. 235,Energi & Pertambangan,Sulawesi Selatan,2010
COMP-0236,PT Utama Sentosa No. 236,Konsumer Primer,Sumatera Utara,2015
COMP-0237,PT Indo Sejahtera No. 237,Teknologi & Informasi,DKI Jakarta,2012
COMP-0238,PT Bumi Jaya No. 238,Kesehatan,Jawa Timur,2016
COMP-0239,PT Artha Tbk No. 239,Kesehatan,Kalimantan Timur,2014
COMP-0240,PT Mega Tbk No. 240,Kesehatan,Sumatera Utara,2018
COMP-0241,PT Artha Persada No. 241,Infrastruktur,Jawa Timur,2016
COMP-0242,PT Mega Tbk No. 242,Teknologi & Informasi,DKI Jakarta,2013
COMP-0243,PT Surya Karya No. 243,Konsumer Primer,Jawa Barat,2014
COMP-0244,PT Nusantara Karya No. 244,Teknologi & Informasi,Kalimantan Timur,2014
COMP-0245,PT Artha Makmur No. 245,Infrastruktur,Sulawesi Selatan,2020
COMP-0246,PT Nusantara Abadi No. 246,Energi & Pertambangan,DKI Jakarta,2024
COMP-0247,PT Surya Abadi No. 247,Infrastruktur,Sumatera Utara,2014
COMP-0248,PT Mega Energi No. 248,Kesehatan,Sumatera Utara,2019
COMP-0249,PT Utama Abadi No. 249,Energi & Pertambangan,Jawa Barat,2018
COMP-0250,PT Bina Karya No. 250,Kesehatan,Jawa Barat,2019
COMP-0251,PT Bina Energi No. 251,Keuangan,Kalimantan Timur,2012
COMP-0252,PT Nusantara Sentosa No. 252,Infrastruktur,Sulawesi Selatan,2015
COMP-0253,PT Bina Lestari No. 253,Infrastruktur,Kalimantan Timur,2017
COMP-0254,PT Citra Energi No. 254,Konsumer Primer,Jawa Barat,2020
COMP-0255,PT Artha Tbk No. 255,Teknologi & Informasi,Jawa Barat,2018
COMP-0256,PT Citra Tbk No. 256,Energi & Pertambangan,Sumatera Utara,2022
COMP-0257,PT Utama Sentosa No. 257,Energi & Pertambangan,Jawa Barat,2024
COMP-0258,PT Citra Persada No. 258,Konsumer Primer,Jawa Timur,2016
COMP-0259,PT Mega Sejahtera No. 259,Konsumer Primer,DKI Jakarta,2021
COMP-0260,PT Citra Tbk No. 260,Teknologi & Informasi,Jawa Barat,2012
COMP-0261,PT Artha Sejahtera No. 261,Kesehatan,Kalimantan Timur,2010
COMP-0262,PT Artha Sejahtera No. 262,Teknologi & Informasi,Sulawesi Selatan,2013
COMP-0263,PT Utama Tbk No. 263,Infrastruktur,Sulawesi Selatan,2022
COMP-0264,PT Utama Sejahtera No. 264,Kesehatan,Sulawesi Selatan,2015
COMP-0265,PT Indo Persada No. 265,Keuangan,Jawa Timur,2012
COMP-0266,PT Utama Persada No. 266,Teknologi & Informasi,Kalimantan Timur,2023
COMP-0267,PT Mega Karya No. 267,Konsumer Primer,Jawa Timur,2010
COMP-0268,PT Utama Makmur No. 268,Kesehatan,Jawa Barat,2015
COMP-0269,PT Bina Persada No. 269,Teknologi & Informasi,DKI Jakarta,2023
COMP-0270,PT Indo Energi No. 270,Energi & Pertambangan,Sulawesi Selatan,2010
COMP-0271,PT Sumber Abadi No. 271,Keuangan,Kalimantan Timur,2018
COMP-0272,PT Surya Persada No. 272,Infrastruktur,Sulawesi Selatan,2020
COMP-0273,PT Bina Makmur No. 273,Energi & Pertambangan,Jawa Timur,2023
COMP-0274,PT Indo Makmur No. 274,Energi & Pertambangan,Sumatera Utara,2021
COMP-0275,PT Mega Sejahtera No. 275,Keuangan,Jawa Barat,2010
COMP-0276,PT Sumber Karya No. 276,Infrastruktur,DKI Jakarta,2022
COMP-0277,PT Surya Energi No. 277,Konsumer Primer,Jawa Barat,2015
COMP-0278,PT Sumber Sentosa No. 278,Kesehatan,Sumatera Utara,2010
COMP-0279,PT Nusantara Abadi No. 279,Infrastruktur,DKI Jakarta,2021
COMP-0280,PT Bina Sentosa No. 280,Teknologi & Informasi,Sumatera Utara,2016
COMP-0281,PT Artha Lestari No. 281,Energi & Pertambangan,Jawa Barat,2012
COMP-0282,PT Citra Lestari No. 282,Teknologi & Informasi,Jawa Timur,2015
COMP-0283,PT Utama Persada No. 283,Konsumer Primer,Jawa Barat,2016
COMP-0284,PT Indo Karya No. 284,Teknologi & Informasi,Jawa Barat,2010
COMP-0285,PT Utama Karya No. 285,Infrastruktur,Jawa Barat,2010
COMP-0286,PT Bumi Persada No. 286,Teknologi & Informasi,Kalimantan Timur,2022
COMP-0287,PT Artha Jaya No. 287,Konsumer Primer,Sumatera Utara,2014
COMP-0288,PT Bina Abadi No. 288,Konsumer Primer,Sumatera Utara,2015
COMP-0289,PT Nusantara Karya No. 289,Konsumer Primer,Sulawesi Selatan,2024
COMP-0290,PT Bina Energi No. 290,Infrastruktur,Sumatera Utara,2024
COMP-0291,PT Bina Jaya No. 291,Konsumer Primer,Sulawesi Selatan,2018
COMP-0292,PT Nusantara Lestari No. 292,Energi & Pertambangan,Kalimantan Timur,2023
COMP-0293,PT Mega Lestari No. 293,Konsumer Primer,Jawa Timur,2010
COMP-0294,PT Indo Sejahtera No. 294,Teknologi & Informasi,Sulawesi Selatan,2022
COMP-0295,PT Sumber Sejahtera No. 295,Kesehatan,Jawa Barat,2013
COMP-0296,PT Mega Sentosa No. 296,Teknologi & Informasi,Jawa Timur,2019
COMP-0297,PT Citra Karya No. 297,Kesehatan,Kalimantan Timur,2017
COMP-0298,PT Artha Tbk No. 298,Teknologi & Informasi,Sumatera Utara,2019
COMP-0299,PT Bumi Tbk No. 299,Infrastruktur,Sulawesi Selatan,2018
COMP-0300,PT Nusantara Energi No. 300,Teknologi & Informasi,Jawa Barat,2024
COMP-0301,PT Mega Lestari No. 301,Infrastruktur,DKI Jakarta,2022
COMP-0302,PT Sumber Karya No. 302,Infrastruktur,DKI Jakarta,2012
COMP-0303,PT Utama Tbk No. 303,Konsumer Primer,Jawa Timur,2020
COMP-0304,PT Indo Jaya No. 304,Energi & Pertambangan,Sumatera Utara,2011
COMP-0305,PT Sumber Jaya No. 305,Kesehatan,DKI Jakarta,2013
COMP-0306,PT Mega Jaya No. 306,Konsumer Primer,Jawa Timur,2011
COMP-0307,PT Indo Sentosa No. 307,Konsumer Primer,Kalimantan Timur,2010
COMP-0308,PT Indo Jaya No. 308,Infrastruktur,Jawa Timur,2021
COMP-0309,PT Indo Makmur No. 309,Infrastruktur,Jawa Timur,2012
COMP-0310,PT Mega Tbk No. 310,Kesehatan,Jawa Timur,2016
COMP-0311,PT Artha Lestari No. 311,Teknologi & Informasi,Jawa Barat,2022
COMP-0312,PT Nusantara Tbk No. 312,Teknologi & Informasi,Jawa Timur,2022
COMP-0313,PT Nusantara Sejahtera No. 313,Konsumer Primer,Sulawesi Selatan,2010
COMP-0314,PT Artha Karya No. 314,Keuangan,Jawa Timur,2011
COMP-0315,PT Sumber Makmur No. 315,Keuangan,Jawa Barat,2010
COMP-0316,PT Citra Sejahtera No. 316,Teknologi & Informasi,Jawa Barat,2017
COMP-0317,PT Bina Makmur No. 317,Keuangan,Kalimantan Timur,2014
COMP-0318,PT Indo Jaya No. 318,Teknologi & Informasi,Sumatera Utara,2017
COMP-0319,PT Bumi Sejahtera No. 319,Infrastruktur,DKI Jakarta,2012
COMP-0320,PT Utama Jaya No. 320,Konsumer Primer,DKI Jakarta,2022
COMP-0321,PT Nusantara Lestari No. 321,Energi & Pertambangan,Jawa Timur,2021
COMP-0322,PT Nusantara Makmur No. 322,Konsumer Primer,Kalimantan Timur,2016
COMP-0323,PT Nusantara Sejahtera No. 323,Teknologi & Informasi,Jawa Timur,2017
COMP-0324,PT Indo Tbk No. 324,Teknologi & Informasi,DKI Jakarta,2024
COMP-0325,PT Sumber Energi No. 325,Konsumer Primer,Jawa Barat,2015
COMP-0326,PT Nusantara Makmur No. 326,Kesehatan,Sumatera Utara,2022
COMP-0327,PT Bina Karya No. 327,Teknologi & Informasi,Kalimantan Timur,2022
COMP-0328,PT Nusantara Sejahtera No. 328,Keuangan,Jawa Barat,2016
COMP-0329,PT Utama Lestari No. 329,Keuangan,Sumatera Utara,2023
COMP-0330,PT Nusantara Sejahtera No. 330,Teknologi & Informasi,Kalimantan Timur,2021
COMP-0331,PT Mega Lestari No. 331,Teknologi & Informasi,Kalimantan Timur,2011
