fact_activity_id,company_id,metric_id,bulan,nilai_realisasi,status_kepatuhan,biaya_mitigasi_idr
FACT-0045,COMP-1225,METRIC-0034,3,78.84,Patuh,377857692
FACT-0046,COMP-2185,METRIC-0296,7,66.29,Perlu Evaluasi,250995793
FACT-0047,COMP-2084,METRIC-1430,3,95.72,Patuh,146967893
FACT-0048,COMP-1239,METRIC-1151,6,70.66,Perlu Evaluasi,120858723
FACT-0049,COMP-2075,METRIC-2190,10,107.54,Patuh,192754472
FACT-0050,COMP-2066,METRIC-1988,1,50.99,Perlu Evaluasi,307738996
FACT-0051,COMP-0630,METRIC-0648,8,78.24,Patuh,87572783
FACT-0052,COMP-0579,METRIC-2176,7,93.2,Patuh,459230627
FACT-0053,COMP-0903,METRIC-1710,12,51.58,Perlu Evaluasi,302932231
FACT-0054,COMP-1850,METRIC-1548,9,65.11,Perlu Evaluasi,60021954
FACT-0055,COMP-1054,METRIC-0463,3,72.92,Perlu Evaluasi,329128573
FACT-0056,COMP-0123,METRIC-1210,12,51.53,Perlu Evaluasi,389667676
FACT-0057,COMP-0957,METRIC-0514,8,88.27,Patuh,494768904
FACT-0058,COMP-1001,METRIC-0001,2,94.16,Patuh,30329031
FACT-0059,COMP-0987,METRIC-1263,9,65.93,Perlu Evaluasi,448353949
FACT-0060,COMP-1252,METRIC-1079,1,88.04,Patuh,284334189
FACT-0061,COMP-0338,METRIC-1472,12,119.94,Patuh,222181915
FACT-0062,COMP-0991,METRIC-0338,10,112.08,Patuh,395703159
FACT-0063,COMP-2321,METRIC-1128,7,54.11,Perlu Evaluasi,325172777
FACT-0064,COMP-1461,METRIC-2393,10,58.95,Perlu Evaluasi,23993012
FACT-0065,COMP-0902,METRIC-0977,1,84.61,Patuh,392994544
FACT-0066,COMP-2087,METRIC-0883,6,67.16,Perlu Evaluasi,114528234
FACT-0067,COMP-0426,METRIC-2246,1,55.67,Perlu Evaluasi,226611529
FACT-0068,COMP-2363,METRIC-1038,4,67.82,Perlu Evaluasi,126082380
FACT-0069,COMP-0614,METRIC-1704,7,54.28,Perlu Evaluasi,394652024
FACT-0070,COMP-2205,METRIC-0872,2,87.09,Patuh,385859777
FACT-0071,COMP-0872,METRIC-0457,3,84.32,Patuh,159634688
FACT-0072,COMP-2305,METRIC-1550,4,50.44,Perlu Evaluasi,341471253
FACT-0073,COMP-2000,METRIC-0366,6,83.78,Patuh,432976416
FACT-0074,COMP-1894,METRIC-2449,12,86.39,Patuh,236296591
FACT-0075,COMP-0635,METRIC-2158,9,92.4,Patuh,148432233
FACT-0076,COMP-2095,METRIC-2454,4,117.91,Patuh,361815417
FACT-0077,COMP-2058,METRIC-2357,6,118.79,Patuh,245381020
FACT-0078,COMP-2192,METRIC-0160,12,86.89,Patuh,85010121
FACT-0079,COMP-1455,METRIC-0844,7,109.16,Patuh,212759550
FACT-0080,COMP-0487,METRIC-2103,4,55.96,Perlu Evaluasi,241740326
FACT-0081,COMP-1897,METRIC-2000,6,87.18,Patuh,345112253
FACT-0082,COMP-1456,METRIC-2304,3,97.52,Patuh,31966144
FACT-0083,COMP-0207,METRIC-2470,5,89.53,Patuh,67495852
FACT-0084,COMP-1625,METRIC-1639,12,66.15,Perlu Evaluasi,53974724
FACT-0085,COMP-1526,METRIC-2312,12,54.39,Perlu Evaluasi,319654370
FACT-0086,COMP-1483,METRIC-0233,11,77.07,Patuh,173303612
FACT-0087,COMP-0259,METRIC-0233,10,95.33,Patuh,168473420
FACT-0088,COMP-1353,METRIC-0558,4,119.42,Patuh,489814490
FACT-0089,COMP-0454,METRIC-1950,7,66.56,Perlu Evaluasi,358041931
FACT-0090,COMP-0799,METRIC-1460,6,114.25,Patuh,112118045
FACT-0091,COMP-0375,METRIC-0335,7,54.78,Perlu Evaluasi,32959217
FACT-0092,COMP-0075,METRIC-2452,6,115.17,Patuh,371789983
FACT-0093,COMP-0242,METRIC-0256,12,108.27,Patuh,440536186
FACT-0094,COMP-1041,METRIC-1090,2,51.47,Perlu Evaluasi,472048644
FACT-0095,COMP-1713,METRIC-0772,7,70.87,Perlu Evaluasi,103074404
FACT-0096,COMP-0123,METRIC-0946,8,53.57,Perlu Evaluasi,45100737
FACT-0097,COMP-2003,METRIC-1112,7,119.69,Patuh,132485760
FACT-0098,COMP-2159,METRIC-0311,4,79.95,Patuh,304894146
FACT-0099,COMP-2282,METRIC-1595,4,96.35,Patuh,305311059
FACT-0100,COMP-0497,METRIC-1282,12,66.39,Perlu Evaluasi,76076353
FACT-0101,COMP-1146,METRIC-1582,5,115.36,Patuh,323605737
FACT-0102,COMP-1474,METRIC-2177,9,69.19,Perlu Evaluasi,256893674
FACT-0103,COMP-0727,METRIC-2374,5,68.22,Perlu Evaluasi,114782676
FACT-0104,COMP-1832,METRIC-0790,2,72.02,Perlu Evaluasi,170074604
FACT-0105,COMP-1822,METRIC-2065,5,82.37,Patuh,337444767
FACT-0106,COMP-1817,METRIC-0342,3,51.3,Perlu Evaluasi,429255599
FACT-0107,COMP-0092,METRIC-1003,10,91.85,Patuh,185610451
FACT-0108,COMP-1970,METRIC-0838,8,52.22,Perlu Evaluasi,471331946
FACT-0109,COMP-2385,METRIC-0628,10,87.74,Patuh,381933681
FACT-0110,COMP-0513,METRIC-1273,10,82.05,Patuh,79567518
FACT-0111,COMP-0603,METRIC-0710,2,66.98,Perlu Evaluasi,236303082
FACT-0112,COMP-0428,METRIC-0739,11,73.08,Perlu Evaluasi,15970208
FACT-0113,COMP-2020,METRIC-2225,4,99.4,Patuh,321002967
FACT-0114,COMP-1457,METRIC-1779,5,50.67,Perlu Evaluasi,493967121
FACT-0115,COMP-0007,METRIC-0946,12,72.17,Perlu Evaluasi,476196371
FACT-0116,COMP-2168,METRIC-2405,4,97.62,Patuh,242535931
FACT-0117,COMP-2435,METRIC-0495,5,60.66,Perlu Evaluasi,303604447
FACT-0118,COMP-1374,METRIC-0035,10,89.23,Patuh,344600633
FACT-0119,COMP-0641,METRIC-1431,11,61.83,Perlu Evaluasi,397566916
FACT-0120,COMP-1122,METRIC-1992,4,60.83,Perlu Evaluasi,47766849
FACT-0121,COMP-1067,METRIC-0818,3,104.06,Patuh,295430745
FACT-0122,COMP-2231,METRIC-0010,1,68.66,Perlu Evaluasi,458167061
FACT-0123,COMP-0565,METRIC-0986,4,76.3,Patuh,115376486
FACT-0124,COMP-1697,METRIC-1738,9,101.1,Patuh,22794773
FACT-0125,COMP-0446,METRIC-1559,1,62.57,Perlu Evaluasi,258174986
FACT-0126,COMP-1931,METRIC-2143,7,87.22,Patuh,423296202
FACT-0127,COMP-0200,METRIC-0450,3,114.25,Patuh,53736062
FACT-0128,COMP-0513,METRIC-1244,8,88.77,Patuh,362958523
FACT-0129,COMP-0990,METRIC-2144,6,53.42,Perlu Evaluasi,362205612
FACT-0130,COMP-2261,METRIC-0865,1,91.28,Patuh,498619907
FACT-0131,COMP-1402,METRIC-1801,10,56.31,Perlu Evaluasi,208138528
FACT-0132,COMP-1813,METRIC-0207,5,69.75,Perlu Evaluasi,385107537
FACT-0133,COMP-0546,METRIC-1810,12,109.48,Patuh,383673758
FACT-0134,COMP-2010,METRIC-0850,8,50.77,Perlu Evaluasi,312751403
FACT-0135,COMP-1806,METRIC-0246,11,55.39,Perlu Evaluasi,43110457
FACT-0136,COMP-2216,METRIC-1735,3,75.44,Patuh,181819739
FACT-0137,COMP-0890,METRIC-1998,12,119.96,Patuh,181469161
FACT-0138,COMP-0931,METRIC-2131,12,70.43,Perlu Evaluasi,155887867
FACT-0139,COMP-0828,METRIC-0317,4,61.01,Perlu Evaluasi,76775869
FACT-0140,COMP-2185,METRIC-2418,7,88.46,Patuh,390753365
FACT-0141,COMP-2163,METRIC-1720,11,86.35,Patuh,381399399
FACT-0142,COMP-1276,METRIC-2228,6,81.47,Patuh,302820349
FACT-0143,COMP-1517,METRIC-1807,7,116.27,Patuh,134125246
FACT-0144,COMP-1313,METRIC-0600,9,69.61,Perlu Evaluasi,22308102
FACT-0145,COMP-1073,METRIC-1107,9,70.53,Perlu Evaluasi,309220734
FACT-0146,COMP-0516,METRIC-1556,2,59.82,Perlu Evaluasi,454465336
FACT-0147,COMP-1915,METRIC-0841,3,98.81,Patuh,22995370
FACT-0148,COMP-0688,METRIC-0348,4,72.5,Perlu Evaluasi,185255558
FACT-0149,COMP-1020,METRIC-1296,6,106.19,Patuh,292500742
FACT-0150,COMP-1296,METRIC-0331,5,118.02,Patuh,424073884
FACT-0151,COMP-1050,METRIC-0610,6,53.06,Perlu Evaluasi,72829371
FACT-0152,COMP-1094,METRIC-1945,11,119.52,Patuh,260867929
FACT-0153,COMP-2341,METRIC-0744,8,67.79,Perlu Evaluasi,390463848
FACT-0154,COMP-1258,METRIC-0569,2,79.41,Patuh,109157442
FACT-0155,COMP-2279,METRIC-1685,6,104.44,Patuh,177858128
FACT-0156,COMP-1610,METRIC-2437,9,96.57,Patuh,230349735
FACT-0157,COMP-1145,METRIC-0971,5,104.49,Patuh,438050067
FACT-0158,COMP-0518,METRIC-0747,1,82.64,Patuh,31480609
FACT-0159,COMP-0706,METRIC-2185,8,114.12,Patuh,452574836
FACT-0160,COMP-2425,METRIC-1765,4,105.3,Patuh,25945459
FACT-0161,COMP-1935,METRIC-1385,8,71.65,Perlu Evaluasi,225731168
FACT-0162,COMP-2485,METRIC-2330,4,116.39,Patuh,450646927
FACT-0163,COMP-1746,METRIC-1226,11,117.27,Patuh,201333398
FACT-0164,COMP-1669,METRIC-1019,8,79.05,Patuh,251713911
FACT-0165,COMP-0970,METRIC-0016,9,95.64,Patuh,270278952
FACT-0166,COMP-1198,METRIC-0568,5,107.03,Patuh,331273855
FACT-0167,COMP-1687,METRIC-2025,5,107.21,Patuh,345058215
FACT-0168,COMP-1533,METRIC-1614,2,50.99,Perlu Evaluasi,440347296
FACT-0169,COMP-0778,METRIC-2078,9,94.03,Patuh,485535559
FACT-0170,COMP-1334,METRIC-1543,11,118.16,Patuh,374453380
FACT-0171,COMP-2118,METRIC-1932,4,66.19,Perlu Evaluasi,405611104
FACT-0172,COMP-2253,METRIC-2070,3,105.69,Patuh,190163128
FACT-0173,COMP-2389,METRIC-1455,2,87.4,Patuh,318753112
FACT-0174,COMP-0118,METRIC-1703,3,65.5,Perlu Evaluasi,264780678
FACT-0175,COMP-0015,METRIC-1434,4,53.57,Perlu Evaluasi,161033774
FACT-0176,COMP-1346,METRIC-0325,9,103.19,Patuh,144888134
FACT-0177,COMP-2042,METRIC-1322,6,72.15,Perlu Evaluasi,129818106
FACT-0178,COMP-2043,METRIC-2229,10,76.29,Patuh,39656416
FACT-0179,COMP-0911,METRIC-0122,5,83.97,Patuh,462663656
FACT-0180,COMP-1556,METRIC-2172,9,85.5,Patuh,340201568
FACT-0181,COMP-0690,METRIC-1477,8,64.43,Perlu Evaluasi,127031772
FACT-0182,COMP-0774,METRIC-0266,6,96.94,Patuh,138462398
FACT-0183,COMP-1615,METRIC-0028,3,98.48,Patuh,94644651
FACT-0184,COMP-1535,METRIC-1283,7,59.96,Perlu Evaluasi,365760870
FACT-0185,COMP-0120,METRIC-2125,10,87.3,Patuh,181731960
FACT-0186,COMP-2074,METRIC-0432,6,92.65,Patuh,310765864
FACT-0187,COMP-1737,METRIC-0879,12,63.04,Perlu Evaluasi,302681759
FACT-0188,COMP-0064,METRIC-1059,11,112.61,Patuh,275475236
FACT-0189,COMP-0460,METRIC-0436,8,83.8,Patuh,144190379
FACT-0190,COMP-1750,METRIC-1086,12,58.05,Perlu Evaluasi,33236124
FACT-0191,COMP-2362,METRIC-2100,6,73.41,Perlu Evaluasi,470669567
FACT-0192,COMP-1614,METRIC-2164,11,83.39,Patuh,450562069
FACT-0193,COMP-1564,METRIC-2095,10,50.71,Perlu Evaluasi,124806145
FACT-0194,COMP-0982,METRIC-2486,4,52.23,Perlu Evaluasi,92121649
FACT-0195,COMP-1150,METRIC-0101,10,53.89,Perlu Evaluasi,41321273
FACT-0196,COMP-0972,METRIC-1303,12,87.67,Patuh,243871944
FACT-0197,COMP-0707,METRIC-2155,7,73.53,Perlu Evaluasi,169611808
FACT-0198,COMP-1710,METRIC-0983,7,112.52,Patuh,239691017
FACT-0199,COMP-1367,METRIC-2407,11,89.15,Patuh,326281787
FACT-0200,COMP-1847,METRIC-0887,8,103.19,Patuh,242991707
FACT-0201,COMP-0395,METRIC-0800,2,98.1,Patuh,326996468
FACT-0202,COMP-0484,METRIC-1026,11,86.42,Patuh,414206054
FACT-0203,COMP-0666,METRIC-1516,6,102.13,Patuh,89132043
FACT-0204,COMP-0456,METRIC-1904,3,88.13,Patuh,397815545
FACT-0205,COMP-0210,METRIC-1914,8,76.98,Patuh,101512341
FACT-0206,COMP-0525,METRIC-1296,4,80.51,Patuh,85112949
FACT-0207,COMP-0676,METRIC-1168,4,108.7,Patuh,83306309
FACT-0208,COMP-1002,METRIC-0435,2,89.43,Patuh,32789863
FACT-0209,COMP-0896,METRIC-1475,6,76.41,Patuh,63645782
FACT-0210,COMP-1004,METRIC-0916,6,62.58,Perlu Evaluasi,329315892
FACT-0211,COMP-1600,METRIC-2276,1,84.68,Patuh,423447097
FACT-0212,COMP-2355,METRIC-0545,12,67.67,Perlu Evaluasi,27720609
FACT-0213,COMP-0060,METRIC-1238,8,116.89,Patuh,66006117
FACT-0214,COMP-0386,METRIC-0648,3,84.37,Patuh,77547343
FACT-0215,COMP-2104,METRIC-2296,1,50.63,Perlu Evaluasi,49512713
FACT-0216,COMP-2216,METRIC-1432,10,56.5,Perlu Evaluasi,230224238
FACT-0217,COMP-1436,METRIC-1077,1,69.9,Perlu Evaluasi,146110548
FACT-0218,COMP-1795,METRIC-1600,1,56.45,Perlu Evaluasi,95941555
FACT-0219,COMP-1943,METRIC-2362,5,112.58,Patuh,374178313
FACT-0220,COMP-1591,METRIC-0037,5,109.8,Patuh,158576010
FACT-0221,COMP-2388,METRIC-0724,1,117.96,Patuh,44689368
FACT-0222,COMP-0796,METRIC-1548,5,99.45,Patuh,149800251
FACT-0223,COMP-0892,METRIC-0980,7,95.18,Patuh,53349884
FACT-0224,COMP-1283,METRIC-0084,5,114.64,Patuh,121784609
FACT-0225,COMP-0601,METRIC-1118,9,116.25,Patuh,376784542
FACT-0226,COMP-2485,METRIC-1366,4,111.42,Patuh,222040218
FACT-0227,COMP-1246,METRIC-0719,9,110.3,Patuh,473834392
FACT-0228,COMP-1437,METRIC-0550,12,97.02,Patuh,177125115
FACT-0229,COMP-1374,METRIC-1372,8,50.11,Perlu Evaluasi,228944489
FACT-0230,COMP-1083,METRIC-0587,1,80.07,Patuh,344802428
FACT-0231,COMP-0152,METRIC-1865,4,94.5,Patuh,284920287
FACT-0232,COMP-0934,METRIC-0152,7,88.3,Patuh,370680308
FACT-0233,COMP-2273,METRIC-1062,1,107.48,Patuh,31386987
FACT-0234,COMP-1342,METRIC-2213,12,107.32,Patuh,387514954
FACT-0235,COMP-0558,METRIC-1568,8,91.91,Patuh,120538933
FACT-0236,COMP-1498,METRIC-0212,11,51.54,Perlu Evaluasi,196861422
FACT-0237,COMP-1870,METRIC-0742,2,75.85,Patuh,210971161
FACT-0238,COMP-0618,METRIC-2180,8,66.02,Perlu Evaluasi,169370875
FACT-0239,COMP-1820,METRIC-0096,11,73.72,Perlu Evaluasi,464652771
FACT-0240,COMP-0024,METRIC-1527,4,93.21,Patuh,42221988
FACT-0241,COMP-1543,METRIC-0522,8,54.65,Perlu Evaluasi,323853751
FACT-0242,COMP-2416,METRIC-2422,1,51.56,Perlu Evaluasi,407019899
FACT-0243,COMP-2020,METRIC-1040,12,80.58,Patuh,291720544
FACT-0244,COMP-0999,METRIC-1703,5,105.55,Patuh,223127200
FACT-0245,COMP-2383,METRIC-0018,9,52.15,Perlu Evaluasi,386749132
FACT-0246,COMP-1457,METRIC-1720,7,109.43,Patuh,350459213
FACT-0247,COMP-0003,METRIC-0978,3,76.87,Patuh,483197561
FACT-0248,COMP-1008,METRIC-0879,4,58.28,Perlu Evaluasi,328462130
FACT-0249,COMP-1282,METRIC-0594,10,89.72,Patuh,260691236
FACT-0250,COMP-0263,METRIC-0643,7,116.67,Patuh,382205610
FACT-0251,COMP-0121,METRIC-2177,6,87.98,Patuh,248081977
FACT-0252,COMP-1744,METRIC-0801,4,98.06,Patuh,212097895
FACT-0253,COMP-0021,METRIC-0455,3,107.15,Patuh,274789632
FACT-0254,COMP-0905,METRIC-1610,11,105.95,Patuh,261949252
FACT-0255,COMP-0140,METRIC-0876,2,55.12,Perlu Evaluasi,371563869
FACT-0256,COMP-1816,METRIC-1096,10,101.87,Patuh,430067252
FACT-0257,COMP-1313,METRIC-1014,12,116.46,Patuh,247928721
FACT-0258,COMP-0206,METRIC-1111,9,99.05,Patuh,293830508
FACT-0259,COMP-0043,METRIC-2449,3,108.55,Patuh,371043620
FACT-0260,COMP-1029,METRIC-0462,7,83.99,Patuh,260261303
FACT-0261,COMP-2255,METRIC-2137,1,72.33,Perlu Evaluasi,214954873
FACT-0262,COMP-1863,METRIC-2054,8,97.34,Patuh,492818918
FACT-0263,COMP-0345,METRIC-0945,1,84.45,Patuh,312458571
FACT-0264,COMP-1166,METRIC-0084,12,112.67,Patuh,111581228
FACT-0265,COMP-2420,METRIC-1440,2,118.21,Patuh,311850957
FACT-0266,COMP-1388,METRIC-1136,1,107.39,Patuh,175567461
FACT-0267,COMP-0984,METRIC-2220,4,119.49,Patuh,166947151
FACT-0268,COMP-0335,METRIC-0699,2,74.39,Perlu Evaluasi,332644649
FACT-0269,COMP-2059,METRIC-1821,1,112.7,Patuh,66340732
FACT-0270,COMP-2123,METRIC-2321,1,73.1,Perlu Evaluasi,33387386
FACT-0271,COMP-1324,METRIC-0530,2,58.26,Perlu Evaluasi,148501258
FACT-0272,COMP-0776,METRIC-0319,6,93.5,Patuh,424269216
FACT-0273,COMP-0886,METRIC-1099,2,81.85,Patuh,418572046
FACT-0274,COMP-2036,METRIC-2477,12,114.52,Patuh,332011055
FACT-0275,COMP-0736,METRIC-0249,12,84.45,Patuh,222128297
FACT-0276,COMP-1052,METRIC-0387,11,114.93,Patuh,281365641
FACT-0277,COMP-1487,METRIC-1958,2,55.5,Perlu Evaluasi,197840130
FACT-0278,COMP-0396,METRIC-1891,8,108.14,Patuh,200202826
FACT-0279,COMP-0683,METRIC-0363,5,103.14,Patuh,65591498
FACT-0280,COMP-2002,METRIC-2116,8,100.4,Patuh,443144399
FACT-0281,COMP-2469,METRIC-2486,12,74.86,Perlu Evaluasi,490882661
FACT-0282,COMP-0364,METRIC-1556,12,104.86,Patuh,15439709
FACT-0283,COMP-1855,METRIC-1807,8,83.83,Patuh,370746984
FACT-0284,COMP-1782,METRIC-0296,12,100.06,Patuh,230517952
FACT-0285,COMP-0093,METRIC-1992,2,88.66,Patuh,245463611
FACT-0286,COMP-1599,METRIC-2081,7,61.02,Perlu Evaluasi,244731877
FACT-0287,COMP-0266,METRIC-1398,9,54.52,Perlu Evaluasi,329465137
FACT-0288,COMP-2254,METRIC-0032,12,75.63,Patuh,212006072
FACT-0289,COMP-2085,METRIC-0555,8,115.3,Patuh,498751660
FACT-0290,COMP-1035,METRIC-0305,9,87.08,Patuh,139998753
FACT-0291,COMP-1114,METRIC-0793,8,106.15,Patuh,392207867
FACT-0292,COMP-0744,METRIC-1132,4,90.32,Patuh,98837970
FACT-0293,COMP-2067,METRIC-0096,10,117.05,Patuh,41039419
FACT-0294,COMP-0374,METRIC-1090,7,75.86,Patuh,307462817
FACT-0295,COMP-1810,METRIC-0230,9,53.99,Perlu Evaluasi,398985594
FACT-0296,COMP-0094,METRIC-0358,9,104.65,Patuh,397409315
FACT-0297,COMP-0032,METRIC-0402,4,99.38,Patuh,410008323
FACT-0298,COMP-0140,METRIC-0790,7,86.93,Patuh,78344521
FACT-0299,COMP-1594,METRIC-0099,6,72.85,Perlu Evaluasi,274796727
FACT-0300,COMP-1243,METRIC-0271,12,63.18,Perlu Evaluasi,36232719
FACT-0301,COMP-1565,METRIC-1799,12,83.76,Patuh,400189723
FACT-0302,COMP-1583,METRIC-0362,3,96.63,Patuh,35510151
FACT-0303,COMP-1932,METRIC-1188,10,90.52,Patuh,116712412
FACT-0304,COMP-0058,METRIC-0540,6,80.62,Patuh,87360581
FACT-0305,COMP-1299,METRIC-1866,8,87.78,Patuh,209237405
FACT-0306,COMP-2188,METRIC-0833,2,57.56,Perlu Evaluasi,251606145
FACT-0307,COMP-1047,METRIC-2445,12,98.71,Patuh,437679158
FACT-0308,COMP-0378,METRIC-1060,3,101.4,Patuh,24239929
FACT-0309,COMP-0922,METRIC-0314,8,50.8,Perlu Evaluasi,349125934
FACT-0310,COMP-0373,METRIC-1300,4,68.94,Perlu Evaluasi,329503358
FACT-0311,COMP-1588,METRIC-0233,4,56.45,Perlu Evaluasi,95789406
FACT-0312,COMP-0778,METRIC-1640,2,119.88,Patuh,446146648
FACT-0313,COMP-1366,METRIC-1030,11,91.53,Patuh,210306326
FACT-0314,COMP-0167,METRIC-0244,10,82.6,Patuh,484211626
FACT-0315,COMP-2012,METRIC-2289,12,82.41,Patuh,456942420
FACT-0316,COMP-0584,METRIC-2123,1,117.53,Patuh,341421775
FACT-0317,COMP-0999,METRIC-2331,7,96.19,Patuh,293175363
FACT-0318,COMP-0560,METRIC-1559,4,61.81,Perlu Evaluasi,141589802
FACT-0319,COMP-1012,METRIC-0087,6,81.37,Patuh,442878829
FACT-0320,COMP-0233,METRIC-0881,8,104.19,Patuh,489702343
FACT-0321,COMP-0560,METRIC-1173,11,79.63,Patuh,80894021
FACT-0322,COMP-1232,METRIC-0160,7,71.67,Perlu Evaluasi,145624380
FACT-0323,COMP-1763,METRIC-2494,7,119.39,Patuh,100624191
FACT-0324,COMP-1525,METRIC-2130,6,115.49,Patuh,444400884
FACT-0325,COMP-0921,METRIC-2230,11,115.91,Patuh,99417398
FACT-0326,COMP-1243,METRIC-1550,4,59.22,Perlu Evaluasi,64405119
FACT-0327,COMP-0081,METRIC-0478,4,66.4,Perlu Evaluasi,143953946
FACT-0328,COMP-0703,METRIC-2231,9,80.94,Patuh,245904242
FACT-0329,COMP-0541,METRIC-1580,11,108.25,Patuh,367263928
FACT-0330,COMP-1850,METRIC-2222,5,101.58,Patuh,214983075
FACT-0331,COMP-1275,METRIC-2062,9,109.48,Patuh,330240187
FACT-0332,COMP-0622,METRIC-1961,11,114.45,Patuh,289190307
FACT-0333,COMP-1241,METRIC-2121,12,104.65,Patuh,173537790
FACT-0334,COMP-2244,METRIC-1746,9,68.32,Perlu Evaluasi,129388183
FACT-0335,COMP-1321,METRIC-0602,4,69.98,Perlu Evaluasi,466168389
FACT-0336,COMP-2092,METRIC-2391,2,74.67,Perlu Evaluasi,289430909
FACT-0337,COMP-2441,METRIC-1420,2,71.22,Perlu Evaluasi,28995168
FACT-0338,COMP-1467,METRIC-1919,9,67.44,Perlu Evaluasi,382901953
FACT-0339,COMP-1114,METRIC-0333,9,102.67,Patuh,89867112
FACT-0340,COMP-2203,METRIC-0355,3,52.38,Perlu Evaluasi,309045199
FACT-0341,COMP-1645,METRIC-0847,5,100.99,Patuh,471819045
FACT-0342,COMP-0059,METRIC-0163,5,107.65,Patuh,250548022
FACT-0343,COMP-2158,METRIC-0116,2,54.62,Perlu Evaluasi,374614010
FACT-0344,COMP-0479,METRIC-1103,2,54.33,Perlu Evaluasi,276805064
FACT-0345,COMP-1923,METRIC-1471,10,69.98,Perlu Evaluasi,418633268
FACT-0346,COMP-1757,METRIC-1907,12,64.58,Perlu Evaluasi,267453897
FACT-0347,COMP-1799,METRIC-1047,1,90.68,Patuh,47924509
FACT-0348,COMP-1618,METRIC-0543,2,97.28,Patuh,453401542
FACT-0349,COMP-0784,METRIC-0414,11,94.39,Patuh,140649244
FACT-0350,COMP-1401,METRIC-0682,7,75.01,Patuh,272715905
FACT-0351,COMP-1056,METRIC-0642,1,84.89,Patuh,312319827
FACT-0352,COMP-1510,METRIC-1433,1,94.8,Patuh,41347130
FACT-0353,COMP-1027,METRIC-0669,9,58.36,Perlu Evaluasi,456213502
FACT-0354,COMP-0378,METRIC-2070,2,66.07,Perlu Evaluasi,404690371
