fact_score_id,company_id,tahun_evaluasi,skor_environmental,skor_social,skor_governance,total_skor_esg,peringkat_esg
FSC-0090,COMP-0965,2023,60,63,75,66.0,BBB
FSC-0091,COMP-1603,2024,63,67,83,71.0,A
FSC-0092,COMP-0229,2024,98,90,90,92.67,AAA
FSC-0093,COMP-1185,2026,91,91,70,84.0,AA
FSC-0094,COMP-0427,2023,51,84,82,72.33,A
FSC-0095,COMP-0122,2022,84,85,98,89.0,AA
FSC-0096,COMP-2197,2023,94,77,81,84.0,AA
FSC-0097,COMP-0111,2026,98,82,92,90.67,AAA
FSC-0098,COMP-1245,2024,84,64,77,75.0,A
FSC-0099,COMP-1928,2026,91,79,73,81.0,AA
FSC-0100,COMP-0064,2025,77,90,87,84.67,AA
FSC-0101,COMP-1378,2024,57,80,70,69.0,BBB
FSC-0102,COMP-0909,2026,81,80,83,81.33,AA
FSC-0103,COMP-1772,2022,53,99,95,82.33,AA
FSC-0104,COMP-1509,2022,94,67,78,79.67,A
FSC-0105,COMP-0013,2022,56,71,72,66.33,BBB
FSC-0106,COMP-1177,2025,88,94,92,91.33,AAA
FSC-0107,COMP-0239,2023,97,58,78,77.67,A
FSC-0108,COMP-0663,2022,76,77,91,81.33,AA
FSC-0109,COMP-1110,2025,86,89,74,83.0,AA
FSC-0110,COMP-0694,2022,66,65,70,67.0,BBB
FSC-0111,COMP-1182,2025,59,66,82,69.0,BBB
FSC-0112,COMP-1505,2022,53,63,64,60.0,BBB
FSC-0113,COMP-1903,2023,72,69,81,74.0,A
FSC-0114,COMP-0076,2026,63,99,77,79.67,A
FSC-0115,COMP-0329,2022,54,91,66,70.33,A
FSC-0116,COMP-1440,2026,51,59,92,67.33,BBB
FSC-0117,COMP-1253,2022,95,73,62,76.67,A
FSC-0118,COMP-2200,2023,73,65,87,75.0,A
FSC-0119,COMP-0072,2026,67,63,60,63.33,BBB
FSC-0120,COMP-0225,2025,76,89,96,87.0,AA
FSC-0121,COMP-2408,2022,73,81,81,78.33,A
FSC-0122,COMP-0811,2022,78,67,78,74.33,A
FSC-0123,COMP-2049,2025,60,66,73,66.33,BBB
FSC-0124,COMP-0678,2023,97,63,62,74.0,A
FSC-0125,COMP-0291,2024,67,96,78,80.33,AA
FSC-0126,COMP-1482,2022,97,82,92,90.33,AAA
FSC-0127,COMP-2252,2025,53,67,80,66.67,BBB
FSC-0128,COMP-1226,2024,82,74,60,72.0,A
FSC-0129,COMP-0566,2022,63,67,85,71.67,A
FSC-0130,COMP-1816,2026,93,81,69,81.0,AA
FSC-0131,COMP-0511,2025,91,80,94,88.33,AA
FSC-0132,COMP-0924,2026,81,83,72,78.67,A
FSC-0133,COMP-2326,2023,53,83,65,67.0,BBB
FSC-0134,COMP-0016,2024,69,76,65,70.0,A
FSC-0135,COMP-2404,2025,70,63,94,75.67,A
FSC-0136,COMP-0356,2022,52,78,75,68.33,BBB
FSC-0137,COMP-0830,2022,74,96,67,79.0,A
FSC-0138,COMP-1102,2024,53,73,62,62.67,BBB
FSC-0139,COMP-1091,2026,96,92,64,84.0,AA
FSC-0140,COMP-1747,2026,60,85,80,75.0,A
FSC-0141,COMP-0214,2025,65,93,90,82.67,AA
FSC-0142,COMP-1721,2025,85,69,73,75.67,A
FSC-0143,COMP-0449,2026,55,86,96,79.0,A
FSC-0144,COMP-1569,2025,80,83,78,80.33,AA
FSC-0145,COMP-0710,2026,89,88,96,91.0,AAA
FSC-0146,COMP-0380,2024,62,63,79,68.0,BBB
FSC-0147,COMP-1889,2025,72,89,61,74.0,A
FSC-0148,COMP-1048,2026,53,60,66,59.67,BB
FSC-0149,COMP-0539,2025,86,91,92,89.67,AA
FSC-0150,COMP-0753,2022,91,68,65,74.67,A
FSC-0151,COMP-0535,2022,86,63,66,71.67,A
FSC-0152,COMP-0673,2023,93,73,77,81.0,AA
FSC-0153,COMP-1065,2026,82,77,88,82.33,AA
FSC-0154,COMP-0568,2023,91,95,78,88.0,AA
FSC-0155,COMP-1437,2026,78,82,84,81.33,AA
FSC-0156,COMP-0415,2025,86,70,63,73.0,A
FSC-0157,COMP-0449,2026,68,80,72,73.33,A
FSC-0158,COMP-0610,2022,69,92,91,84.0,AA
FSC-0159,COMP-2002,2025,81,94,86,87.0,AA
FSC-0160,COMP-1798,2022,93,79,93,88.33,AA
FSC-0161,COMP-2484,2025,65,89,87,80.33,AA
FSC-0162,COMP-0705,2026,54,59,68,60.33,BBB
FSC-0163,COMP-2287,2026,98,61,67,75.33,A
FSC-0164,COMP-1066,2022,95,77,80,84.0,AA
FSC-0165,COMP-0734,2024,61,79,89,76.33,A
FSC-0166,COMP-0800,2026,94,55,88,79.0,A
FSC-0167,COMP-2058,2024,70,76,68,71.33,A
FSC-0168,COMP-1861,2025,63,58,72,64.33,BBB
FSC-0169,COMP-2187,2024,86,82,77,81.67,AA
FSC-0170,COMP-1891,2022,71,68,97,78.67,A
FSC-0171,COMP-0731,2023,79,87,81,82.33,AA
FSC-0172,COMP-0196,2023,72,58,90,73.33,A
FSC-0173,COMP-1098,2022,54,96,94,81.33,AA
FSC-0174,COMP-1639,2023,78,65,69,70.67,A
FSC-0175,COMP-1659,2022,79,93,68,80.0,AA
FSC-0176,COMP-1126,2026,67,86,90,81.0,AA
FSC-0177,COMP-0264,2024,95,58,99,84.0,AA
FSC-0178,COMP-0920,2023,99,55,83,79.0,A
FSC-0179,COMP-0161,2026,50,80,67,65.67,BBB
FSC-0180,COMP-1257,2023,88,87,79,84.67,AA
FSC-0181,COMP-1811,2025,66,71,76,71.0,A
FSC-0182,COMP-0770,2022,52,81,87,73.33,A
FSC-0183,COMP-0311,2022,91,96,65,84.0,AA
FSC-0184,COMP-0227,2026,56,59,92,69.0,BBB
FSC-0185,COMP-0273,2025,76,61,87,74.67,A
FSC-0186,COMP-0317,2024,77,79,60,72.0,A
FSC-0187,COMP-1923,2025,93,62,94,83.0,AA
FSC-0188,COMP-2339,2025,80,88,83,83.67,AA
FSC-0189,COMP-1493,2024,64,95,65,74.67,A
FSC-0190,COMP-1895,2024,97,58,66,73.67,A
FSC-0191,COMP-1602,2025,57,66,68,63.67,BBB
FSC-0192,COMP-1793,2023,55,85,96,78.67,A
FSC-0193,COMP-1451,2023,77,65,75,72.33,A
FSC-0194,COMP-2423,2025,53,91,93,79.0,A
FSC-0195,COMP-1926,2023,79,98,94,90.33,AAA
FSC-0196,COMP-0567,2024,92,90,94,92.0,AAA
FSC-0197,COMP-0252,2024,66,99,79,81.33,AA
FSC-0198,COMP-1557,2023,83,76,82,80.33,AA
FSC-0199,COMP-2355,2024,55,55,94,68.0,BBB
FSC-0200,COMP-0675,2022,85,58,82,75.0,A
FSC-0201,COMP-2312,2024,84,90,63,79.0,A
FSC-0202,COMP-2116,2025,88,62,69,73.0,A
FSC-0203,COMP-1603,2026,88,79,70,79.0,A
FSC-0204,COMP-0514,2023,65,82,99,82.0,AA
FSC-0205,COMP-0442,2023,51,92,68,70.33,A
FSC-0206,COMP-0001,2024,57,90,99,82.0,AA
FSC-0207,COMP-2406,2024,64,90,71,75.0,A
FSC-0208,COMP-1139,2026,76,97,76,83.0,AA
FSC-0209,COMP-0903,2026,65,95,91,83.67,AA
FSC-0210,COMP-1624,2025,50,58,82,63.33,BBB
FSC-0211,COMP-1221,2022,59,67,74,66.67,BBB
FSC-0212,COMP-2322,2025,56,92,87,78.33,A
FSC-0213,COMP-0856,2023,97,99,97,97.67,AAA
FSC-0214,COMP-1018,2024,59,79,64,67.33,BBB
FSC-0215,COMP-1184,2025,61,57,99,72.33,A
FSC-0216,COMP-2221,2024,66,86,77,76.33,A
FSC-0217,COMP-0585,2024,94,93,80,89.0,AA
FSC-0218,COMP-0455,2025,61,55,74,63.33,BBB
FSC-0219,COMP-0196,2025,64,65,62,63.67,BBB
FSC-0220,COMP-0599,2026,95,56,85,78.67,A
FSC-0221,COMP-1333,2022,81,59,74,71.33,A
FSC-0222,COMP-1760,2026,81,76,79,78.67,A
FSC-0223,COMP-0556,2022,75,67,80,74.0,A
FSC-0224,COMP-1518,2025,63,77,85,75.0,A
FSC-0225,COMP-0439,2022,99,85,82,88.67,AA
FSC-0226,COMP-0359,2023,75,89,84,82.67,AA
FSC-0227,COMP-1058,2026,54,92,63,69.67,BBB
FSC-0228,COMP-1112,2026,87,95,69,83.67,AA
FSC-0229,COMP-2064,2026,99,89,81,89.67,AA
FSC-0230,COMP-0421,2024,95,99,62,85.33,AA
FSC-0231,COMP-0553,2024,53,67,78,66.0,BBB
FSC-0232,COMP-1150,2025,77,61,90,76.0,A
FSC-0233,COMP-1032,2025,50,59,68,59.0,BB
FSC-0234,COMP-1492,2024,62,83,88,77.67,A
FSC-0235,COMP-0880,2026,92,62,96,83.33,AA
FSC-0236,COMP-1886,2024,52,62,66,60.0,BBB
FSC-0237,COMP-0852,2022,98,61,97,85.33,AA
FSC-0238,COMP-0510,2026,99,73,83,85.0,AA
FSC-0239,COMP-1860,2024,74,93,67,78.0,A
FSC-0240,COMP-1764,2025,91,77,93,87.0,AA
FSC-0241,COMP-0966,2024,65,90,85,80.0,AA
FSC-0242,COMP-1859,2023,70,96,87,84.33,AA
FSC-0243,COMP-0914,2024,62,86,87,78.33,A
FSC-0244,COMP-1391,2026,93,99,66,86.0,AA
FSC-0245,COMP-1512,2024,85,58,62,68.33,BBB
FSC-0246,COMP-2066,2025,57,84,81,74.0,A
FSC-0247,COMP-2104,2022,93,96,97,95.33,AAA
FSC-0248,COMP-1059,2023,68,93,77,79.33,A
FSC-0249,COMP-0794,2026,96,59,71,75.33,A
FSC-0250,COMP-1597,2025,65,57,90,70.67,A
FSC-0251,COMP-1807,2023,61,76,98,78.33,A
FSC-0252,COMP-0347,2024,69,82,64,71.67,A
FSC-0253,COMP-1056,2023,67,76,88,77.0,A
FSC-0254,COMP-0908,2022,61,76,95,77.33,A
FSC-0255,COMP-1024,2023,97,88,73,86.0,AA
FSC-0256,COMP-0576,2023,74,83,77,78.0,A
FSC-0257,COMP-0199,2024,60,97,66,74.33,A
FSC-0258,COMP-1366,2024,71,96,82,83.0,AA
FSC-0259,COMP-1999,2026,95,67,92,84.67,AA
FSC-0260,COMP-1255,2024,83,61,75,73.0,A
FSC-0261,COMP-2349,2023,62,64,96,74.0,A
FSC-0262,COMP-1017,2022,95,82,84,87.0,AA
FSC-0263,COMP-0026,2024,87,58,68,71.0,A
FSC-0264,COMP-1559,2026,61,86,87,78.0,A
FSC-0265,COMP-2498,2026,88,76,68,77.33,A
FSC-0266,COMP-2368,2023,85,74,71,76.67,A
FSC-0267,COMP-2204,2024,77,74,77,76.0,A
FSC-0268,COMP-0471,2024,76,60,86,74.0,A
FSC-0269,COMP-2468,2026,88,63,85,78.67,A
FSC-0270,COMP-0651,2024,62,82,85,76.33,A
FSC-0271,COMP-0886,2023,92,67,69,76.0,A
FSC-0272,COMP-0930,2022,89,85,76,83.33,AA
FSC-0273,COMP-1745,2023,76,93,91,86.67,AA
FSC-0274,COMP-0876,2024,80,68,83,77.0,A
FSC-0275,COMP-0942,2023,51,76,67,64.67,BBB
FSC-0276,COMP-1309,2025,67,91,89,82.33,AA
FSC-0277,COMP-0572,2025,75,99,85,86.33,AA
FSC-0278,COMP-0054,2024,91,78,83,84.0,AA
FSC-0279,COMP-0605,2024,80,62,86,76.0,A
FSC-0280,COMP-0325,2022,87,69,74,76.67,A
FSC-0281,COMP-0885,2023,71,95,87,84.33,AA
FSC-0282,COMP-0265,2022,85,60,70,71.67,A
FSC-0283,COMP-0382,2024,68,77,98,81.0,AA
FSC-0284,COMP-1237,2024,63,79,61,67.67,BBB
FSC-0285,COMP-2381,2026,63,85,68,72.0,A
FSC-0286,COMP-1382,2022,99,83,82,88.0,AA
FSC-0287,COMP-2251,2024,78,77,92,82.33,AA
FSC-0288,COMP-2106,2025,66,64,78,69.33,BBB
FSC-0289,COMP-1518,2026,99,63,72,78.0,A
FSC-0290,COMP-1534,2023,99,67,73,79.67,A
FSC-0291,COMP-1792,2026,86,86,91,87.67,AA
FSC-0292,COMP-0547,2023,58,99,81,79.33,A
FSC-0293,COMP-0871,2025,50,95,79,74.67,A
FSC-0294,COMP-2151,2023,53,55,92,66.67,BBB
FSC-0295,COMP-1224,2022,56,55,64,58.33,BB
FSC-0296,COMP-0865,2023,60,91,79,76.67,A
FSC-0297,COMP-1966,2023,63,94,73,76.67,A
FSC-0298,COMP-0398,2026,91,72,86,83.0,AA
FSC-0299,COMP-1762,2025,68,90,85,81.0,AA
FSC-0300,COMP-0392,2023,89,85,91,88.33,AA
FSC-0301,COMP-2154,2022,52,55,89,65.33,BBB
FSC-0302,COMP-1613,2026,57,90,86,77.67,A
FSC-0303,COMP-1078,2025,78,63,85,75.33,A
FSC-0304,COMP-1301,2025,99,76,77,84.0,AA
FSC-0305,COMP-2159,2024,86,82,82,83.33,AA
FSC-0306,COMP-2272,2022,92,80,83,85.0,AA
FSC-0307,COMP-2123,2026,58,64,63,61.67,BBB
FSC-0308,COMP-0364,2026,68,57,62,62.33,BBB
FSC-0309,COMP-2287,2022,61,56,89,68.67,BBB
FSC-0310,COMP-1425,2025,76,91,75,80.67,AA
FSC-0311,COMP-0846,2023,86,85,66,79.0,A
FSC-0312,COMP-1328,2022,97,87,98,94.0,AAA
FSC-0313,COMP-0392,2026,74,86,81,80.33,AA
FSC-0314,COMP-1041,2022,94,97,90,93.67,AAA
FSC-0315,COMP-2060,2025,87,66,72,75.0,A
FSC-0316,COMP-2047,2024,97,57,88,80.67,AA
FSC-0317,COMP-0146,2024,99,80,87,88.67,AA
FSC-0318,COMP-1306,2023,66,68,78,70.67,A
FSC-0319,COMP-1573,2023,93,66,82,80.33,AA
FSC-0320,COMP-2217,2025,82,80,67,76.33,A
FSC-0321,COMP-2218,2023,88,70,84,80.67,AA
FSC-0322,COMP-2033,2024,63,62,97,74.0,A
FSC-0323,COMP-0765,2025,77,82,97,85.33,AA
FSC-0324,COMP-1370,2025,67,61,94,74.0,A
FSC-0325,COMP-0499,2025,82,69,85,78.67,A
FSC-0326,COMP-1967,2022,91,95,62,82.67,AA
FSC-0327,COMP-1166,2023,64,90,61,71.67,A
FSC-0328,COMP-1761,2026,60,62,64,62.0,BBB
FSC-0329,COMP-0118,2024,85,64,79,76.0,A
FSC-0330,COMP-0365,2023,64,69,71,68.0,BBB
FSC-0331,COMP-1982,2024,97,72,97,88.67,AA
FSC-0332,COMP-0136,2023,79,91,75,81.67,AA
FSC-0333,COMP-1101,2026,64,95,96,85.0,AA
FSC-0334,COMP-1872,2024,98,99,97,98.0,AAA
FSC-0335,COMP-0018,2026,72,97,95,88.0,AA
FSC-0336,COMP-1891,2024,92,98,88,92.67,AAA
FSC-0337,COMP-2451,2022,99,89,94,94.0,AAA
FSC-0338,COMP-0205,2022,97,56,96,83.0,AA
FSC-0339,COMP-0499,2024,64,76,80,73.33,A
FSC-0340,COMP-2372,2024,78,69,80,75.67,A
FSC-0341,COMP-0595,2026,60,91,87,79.33,A
FSC-0342,COMP-0562,2025,94,93,65,84.0,AA
FSC-0343,COMP-1305,2024,67,90,79,78.67,A
FSC-0344,COMP-2212,2023,89,59,95,81.0,AA
FSC-0345,COMP-2372,2023,80,69,72,73.67,A
FSC-0346,COMP-0640,2023,58,81,99,79.33,A
FSC-0347,COMP-1927,2022,71,70,70,70.33,A
FSC-0348,COMP-2256,2026,60,90,83,77.67,A
FSC-0349,COMP-0315,2022,66,92,78,78.67,A
FSC-0350,COMP-2352,2023,82,72,82,78.67,A
FSC-0351,COMP-0901,2024,60,89,90,79.67,A
FSC-0352,COMP-2287,2023,88,79,96,87.67,AA
FSC-0353,COMP-1751,2024,57,76,96,76.33,A
FSC-0354,COMP-0804,2026,53,85,62,66.67,BBB
FSC-0355,COMP-1561,2025,85,91,93,89.67,AA
FSC-0356,COMP-1453,2024,68,88,88,81.33,AA
FSC-0357,COMP-1244,2022,73,77,62,70.67,A
FSC-0358,COMP-2323,2023,90,70,74,78.0,A
FSC-0359,COMP-1671,2023,98,60,66,74.67,A
FSC-0360,COMP-2028,2023,67,69,62,66.0,BBB
FSC-0361,COMP-1769,2024,82,72,75,76.33,A
FSC-0362,COMP-2001,2026,95,92,93,93.33,AAA
FSC-0363,COMP-1090,2024,85,67,79,77.0,A
FSC-0364,COMP-1447,2022,59,78,98,78.33,A
FSC-0365,COMP-2303,2023,63,67,92,74.0,A
FSC-0366,COMP-2173,2024,56,55,73,61.33,BBB
FSC-0367,COMP-1170,2023,61,90,94,81.67,AA
FSC-0368,COMP-0615,2022,71,72,70,71.0,A
FSC-0369,COMP-2433,2025,76,87,79,80.67,AA
FSC-0370,COMP-2495,2025,97,92,89,92.67,AAA
FSC-0371,COMP-0387,2025,86,97,87,90.0,AAA
FSC-0372,COMP-2431,2023,60,60,74,64.67,BBB
FSC-0373,COMP-1406,2024,85,71,97,84.33,AA
FSC-0374,COMP-0124,2023,62,58,72,64.0,BBB
FSC-0375,COMP-1814,2026,81,68,94,81.0,AA
FSC-0376,COMP-1625,2024,57,84,83,74.67,A
FSC-0377,COMP-1182,2022,56,74,60,63.33,BBB
FSC-0378,COMP-0728,2025,92,62,83,79.0,A
FSC-0379,COMP-1142,2024,92,56,86,78.0,A
FSC-0380,COMP-2376,2024,66,91,77,78.0,A
FSC-0381,COMP-0359,2025,71,58,85,71.33,A
FSC-0382,COMP-0443,2022,95,64,88,82.33,AA
FSC-0383,COMP-2212,2023,83,74,67,74.67,A
FSC-0384,COMP-0973,2023,69,89,85,81.0,AA
FSC-0385,COMP-0361,2024,57,64,64,61.67,BBB
FSC-0386,COMP-0853,2025,71,82,92,81.67,AA
FSC-0387,COMP-1625,2026,76,69,99,81.33,AA
FSC-0388,COMP-1612,2022,83,90,64,79.0,A
FSC-0389,COMP-1757,2023,70,55,95,73.33,A
FSC-0390,COMP-1024,2022,64,76,72,70.67,A
FSC-0391,COMP-1908,2022,54,81,76,70.33,A
FSC-0392,COMP-1931,2022,87,83,72,80.67,AA
FSC-0393,COMP-0241,2025,66,69,84,73.0,A
FSC-0394,COMP-0666,2025,57,64,61,60.67,BBB
FSC-0395,COMP-1166,2025,68,74,83,75.0,A
FSC-0396,COMP-0976,2024,54,76,95,75.0,A
FSC-0397,COMP-2040,2025,72,63,84,73.0,A
FSC-0398,COMP-2079,2024,68,86,93,82.33,AA
FSC-0399,COMP-0223,2023,63,71,71,68.33,BBB
FSC-0400,COMP-1828,2023,59,96,78,77.67,A
FSC-0401,COMP-2314,2023,80,73,89,80.67,AA
FSC-0402,COMP-1306,2023,62,94,96,84.0,AA
FSC-0403,COMP-0788,2023,71,81,60,70.67,A
FSC-0404,COMP-2429,2025,86,91,62,79.67,A
FSC-0405,COMP-0556,2026,88,88,85,87.0,AA
FSC-0406,COMP-2110,2025,59,64,74,65.67,BBB
FSC-0407,COMP-0847,2026,80,84,87,83.67,AA
FSC-0408,COMP-1095,2025,92,75,63,76.67,A
FSC-0409,COMP-1560,2023,84,75,78,79.0,A
FSC-0410,COMP-0140,2022,62,88,83,77.67,A
FSC-0411,COMP-1364,2026,79,63,99,80.33,AA
FSC-0412,COMP-0590,2022,83,88,65,78.67,A
FSC-0413,COMP-1750,2023,85,66,75,75.33,A
FSC-0414,COMP-0541,2026,84,75,91,83.33,AA
FSC-0415,COMP-2423,2022,96,74,89,86.33,AA
FSC-0416,COMP-0291,2025,53,60,94,69.0,BBB
FSC-0417,COMP-2091,2023,53,99,67,73.0,A
FSC-0418,COMP-1256,2025,96,90,64,83.33,AA
FSC-0419,COMP-1236,2025,55,66,96,72.33,A
FSC-0420,COMP-0008,2023,77,95,71,81.0,AA
FSC-0421,COMP-1658,2026,79,85,84,82.67,AA
FSC-0422,COMP-0483,2024,76,56,92,74.67,A
FSC-0423,COMP-2090,2024,54,70,98,74.0,A
FSC-0424,COMP-0333,2023,93,55,83,77.0,A
FSC-0425,COMP-1257,2024,88,58,70,72.0,A
FSC-0426,COMP-1040,2022,84,55,94,77.67,A
FSC-0427,COMP-2117,2026,88,89,99,92.0,AAA
FSC-0428,COMP-2101,2025,93,67,60,73.33,A
FSC-0429,COMP-0685,2025,64,99,67,76.67,A
FSC-0430,COMP-0994,2023,68,96,82,82.0,AA
FSC-0431,COMP-1798,2025,79,85,79,81.0,AA
FSC-0432,COMP-1825,2022,87,74,91,84.0,AA
FSC-0433,COMP-1806,2022,81,61,70,70.67,A
FSC-0434,COMP-1703,2023,89,94,66,83.0,AA
FSC-0435,COMP-0063,2025,78,87,89,84.67,AA
FSC-0436,COMP-0261,2024,55,82,98,78.33,A
FSC-0437,COMP-0858,2024,75,98,72,81.67,AA
FSC-0438,COMP-1264,2026,76,98,62,78.67,A
FSC-0439,COMP-1489,2023,84,74,66,74.67,A
FSC-0440,COMP-1131,2026,77,86,72,78.33,A
FSC-0441,COMP-2031,2024,54,63,96,71.0,A
FSC-0442,COMP-0180,2024,90,88,84,87.33,AA
FSC-0443,COMP-0355,2024,97,68,82,82.33,AA
FSC-0444,COMP-0934,2026,65,58,92,71.67,A
FSC-0445,COMP-0589,2023,90,83,64,79.0,A
FSC-0446,COMP-1761,2022,67,69,91,75.67,A
FSC-0447,COMP-0605,2022,62,71,89,74.0,A
FSC-0448,COMP-2229,2024,92,73,90,85.0,AA
FSC-0449,COMP-0174,2023,74,92,72,79.33,A
FSC-0450,COMP-2402,2023,59,63,64,62.0,BBB
FSC-0451,COMP-0354,2025,78,81,82,80.33,AA
FSC-0452,COMP-1339,2025,59,69,60,62.67,BBB
FSC-0453,COMP-0434,2026,55,91,69,71.67,A
FSC-0454,COMP-2330,2025,65,82,86,77.67,A
FSC-0455,COMP-0259,2026,74,58,67,66.33,BBB
FSC-0456,COMP-0868,2022,93,75,62,76.67,A
FSC-0457,COMP-2053,2024,53,88,78,73.0,A
FSC-0458,COMP-2004,2023,86,73,61,73.33,A
FSC-0459,COMP-0596,2022,83,91,90,88.0,AA
FSC-0460,COMP-1669,2022,68,58,69,65.0,BBB
FSC-0461,COMP-0394,2026,82,91,75,82.67,AA
FSC-0462,COMP-0336,2024,53,86,96,78.33,A
FSC-0463,COMP-2111,2026,93,99,79,90.33,AAA
FSC-0464,COMP-0044,2022,83,66,62,70.33,A
FSC-0465,COMP-2201,2023,61,95,94,83.33,AA
FSC-0466,COMP-0854,2025,80,70,93,81.0,AA
FSC-0467,COMP-0275,2026,65,68,80,71.0,A
