metric_id,pilar,nama_metrik,satuan,target_kepatuhan_persen
METRIC-0026,Social,Pelatihan Karyawan (Jam) (Sub-26),Persentase / Jam / Tingkat Kasus,91.45
METRIC-0027,Governance,Transparansi Pajak (Sub-27),Skor Indeks / Persentase / Sertifikasi,90.72
METRIC-0028,Governance,Independensi Dewan Komisaris (Sub-28),Skor Indeks / Persentase / Sertifikasi,86.4
METRIC-0029,Governance,Sertifikasi Anti-Korupsi (Sub-29),Skor Indeks / Persentase / Sertifikasi,91.03
METRIC-0030,Governance,Audit Keamanan Siber (Sub-30),Skor Indeks / Persentase / Sertifikasi,98.07
METRIC-0031,Social,Pelatihan Karyawan (Jam) (Sub-31),Persentase / Jam / Tingkat Kasus,89.97
METRIC-0032,Governance,Audit Keamanan Siber (Sub-32),Skor Indeks / Persentase / Sertifikasi,77.95
METRIC-0033,Environmental,Intensitas Karbon (Sub-33),Ton CO2e / M3 / MWh,87.12
METRIC-0034,Governance,Audit Keamanan Siber (Sub-34),Skor Indeks / Persentase / Sertifikasi,83.27
METRIC-0035,Environmental,Pengelolaan Limbah B3 (Sub-35),Ton CO2e / M3 / MWh,86.69
METRIC-0036,Governance,Rasio Gaji Eksekutif (Sub-36),Skor Indeks / Persentase / Sertifikasi,85.53
METRIC-0037,Environmental,Intensitas Karbon (Sub-37),Ton CO2e / M3 / MWh,95.76
METRIC-0038,Environmental,Emisi GRK Scope 1 (Sub-38),Ton CO2e / M3 / MWh,89.55
METRIC-0039,Governance,Audit Keamanan Siber (Sub-39),Skor Indeks / Persentase / Sertifikasi,75.66
METRIC-0040,Governance,Transparansi Pajak (Sub-40),Skor Indeks / Persentase / Sertifikasi,71.89
METRIC-0041,Governance,Audit Keamanan Siber (Sub-41),Skor Indeks / Persentase / Sertifikasi,82.73
METRIC-0042,Environmental,Pengelolaan Limbah B3 (Sub-42),Ton CO2e / M3 / MWh,70.47
METRIC-0043,Social,Hubungan Komunitas Lokal (Sub-43),Persentase / Jam / Tingkat Kasus,79.55
METRIC-0044,Social,Tingkat Kecelakaan Kerja (Sub-44),Persentase / Jam / Tingkat Kasus,81.04
METRIC-0045,Governance,Transparansi Pajak (Sub-45),Skor Indeks / Persentase / Sertifikasi,81.27
METRIC-0046,Social,Pelatihan Karyawan (Jam) (Sub-46),Persentase / Jam / Tingkat Kasus,99.38
METRIC-0047,Social,Rasio Kesetaraan Gender (Sub-47),Persentase / Jam / Tingkat Kasus,79.12
METRIC-0048,Governance,Independensi Dewan Komisaris (Sub-48),Skor Indeks / Persentase / Sertifikasi,77.96
METRIC-0049,Environmental,Emisi GRK Scope 1 (Sub-49),Ton CO2e / M3 / MWh,73.88
METRIC-0050,Governance,Rasio Gaji Eksekutif (Sub-50),Skor Indeks / Persentase / Sertifikasi,85.33
METRIC-0051,Social,Rasio Kesetaraan Gender (Sub-51),Persentase / Jam / Tingkat Kasus,74.61
METRIC-0052,Environmental,Efisiensi Energi (Sub-52),Ton CO2e / M3 / MWh,88.49
METRIC-0053,Social,Pelatihan Karyawan (Jam) (Sub-53),Persentase / Jam / Tingkat Kasus,74.65
METRIC-0054,Environmental,Emisi GRK Scope 1 (Sub-54),Ton CO2e / M3 / MWh,87.3
METRIC-0055,Social,Tingkat Kecelakaan Kerja (Sub-55),Persentase / Jam / Tingkat Kasus,94.79
METRIC-0056,Governance,Sertifikasi Anti-Korupsi (Sub-56),Skor Indeks / Persentase / Sertifikasi,71.28
METRIC-0057,Social,Tingkat Kecelakaan Kerja (Sub-57),Persentase / Jam / Tingkat Kasus,82.59
METRIC-0058,Social,Hubungan Komunitas Lokal (Sub-58),Persentase / Jam / Tingkat Kasus,83.83
METRIC-0059,Environmental,Efisiensi Energi (Sub-59),Ton CO2e / M3 / MWh,93.73
METRIC-0060,Social,Tingkat Kecelakaan Kerja (Sub-60),Persentase / Jam / Tingkat Kasus,84.04
METRIC-0061,Governance,Independensi Dewan Komisaris (Sub-61),Skor Indeks / Persentase / Sertifikasi,87.03
METRIC-0062,Governance,Rasio Gaji Eksekutif (Sub-62),Skor Indeks / Persentase / Sertifikasi,93.74
METRIC-0063,Governance,Audit Keamanan Siber (Sub-63),Skor Indeks / Persentase / Sertifikasi,86.79
METRIC-0064,Environmental,Intensitas Karbon (Sub-64),Ton CO2e / M3 / MWh,80.75
METRIC-0065,Environmental,Emisi GRK Scope 1 (Sub-65),Ton CO2e / M3 / MWh,72.58
METRIC-0066,Social,Hubungan Komunitas Lokal (Sub-66),Persentase / Jam / Tingkat Kasus,91.9
METRIC-0067,Social,Hubungan Komunitas Lokal (Sub-67),Persentase / Jam / Tingkat Kasus,96.13
METRIC-0068,Social,Hubungan Komunitas Lokal (Sub-68),Persentase / Jam / Tingkat Kasus,99.1
METRIC-0069,Environmental,Pengelolaan Limbah B3 (Sub-69),Ton CO2e / M3 / MWh,97.8
METRIC-0070,Environmental,Intensitas Karbon (Sub-70),Ton CO2e / M3 / MWh,93.92
METRIC-0071,Social,Tingkat Kecelakaan Kerja (Sub-71),Persentase / Jam / Tingkat Kasus,89.3
METRIC-0072,Environmental,Pengelolaan Limbah B3 (Sub-72),Ton CO2e / M3 / MWh,93.44
METRIC-0073,Environmental,Konsumsi Air Bersih (Sub-73),Ton CO2e / M3 / MWh,82.96
METRIC-0074,Governance,Rasio Gaji Eksekutif (Sub-74),Skor Indeks / Persentase / Sertifikasi,87.84
METRIC-0075,Governance,Sertifikasi Anti-Korupsi (Sub-75),Skor Indeks / Persentase / Sertifikasi,80.46
METRIC-0076,Social,Pelatihan Karyawan (Jam) (Sub-76),Persentase / Jam / Tingkat Kasus,79.8
METRIC-0077,Social,Pelatihan Karyawan (Jam) (Sub-77),Persentase / Jam / Tingkat Kasus,92.7
METRIC-0078,Governance,Rasio Gaji Eksekutif (Sub-78),Skor Indeks / Persentase / Sertifikasi,83.62
METRIC-0079,Environmental,Konsumsi Air Bersih (Sub-79),Ton CO2e / M3 / MWh,76.36
METRIC-0080,Social,Turnover Karyawan (Sub-80),Persentase / Jam / Tingkat Kasus,76.06
METRIC-0081,Social,Rasio Kesetaraan Gender (Sub-81),Persentase / Jam / Tingkat Kasus,95.78
METRIC-0082,Social,Turnover Karyawan (Sub-82),Persentase / Jam / Tingkat Kasus,90.33
METRIC-0083,Environmental,Pengelolaan Limbah B3 (Sub-83),Ton CO2e / M3 / MWh,86.38
METRIC-0084,Governance,Sertifikasi Anti-Korupsi (Sub-84),Skor Indeks / Persentase / Sertifikasi,82.03
METRIC-0085,Social,Pelatihan Karyawan (Jam) (Sub-85),Persentase / Jam / Tingkat Kasus,82.92
METRIC-0086,Governance,Transparansi Pajak (Sub-86),Skor Indeks / Persentase / Sertifikasi,71.72
METRIC-0087,Governance,Rasio Gaji Eksekutif (Sub-87),Skor Indeks / Persentase / Sertifikasi,83.65
METRIC-0088,Environmental,Intensitas Karbon (Sub-88),Ton CO2e / M3 / MWh,93.86
METRIC-0089,Environmental,Pengelolaan Limbah B3 (Sub-89),Ton CO2e / M3 / MWh,81.64
METRIC-0090,Environmental,Pengelolaan Limbah B3 (Sub-90),Ton CO2e / M3 / MWh,81.51
METRIC-0091,Environmental,Efisiensi Energi (Sub-91),Ton CO2e / M3 / MWh,70.47
METRIC-0092,Environmental,Intensitas Karbon (Sub-92),Ton CO2e / M3 / MWh,83.74
METRIC-0093,Environmental,Emisi GRK Scope 1 (Sub-93),Ton CO2e / M3 / MWh,70.76
METRIC-0094,Social,Pelatihan Karyawan (Jam) (Sub-94),Persentase / Jam / Tingkat Kasus,87.11
METRIC-0095,Governance,Audit Keamanan Siber (Sub-95),Skor Indeks / Persentase / Sertifikasi,85.2
METRIC-0096,Environmental,Konsumsi Air Bersih (Sub-96),Ton CO2e / M3 / MWh,95.2
METRIC-0097,Social,Pelatihan Karyawan (Jam) (Sub-97),Persentase / Jam / Tingkat Kasus,87.45
METRIC-0098,Governance,Transparansi Pajak (Sub-98),Skor Indeks / Persentase / Sertifikasi,79.7
METRIC-0099,Environmental,Efisiensi Energi (Sub-99),Ton CO2e / M3 / MWh,85.49
METRIC-0100,Environmental,Pengelolaan Limbah B3 (Sub-100),Ton CO2e / M3 / MWh,90.99
METRIC-0101,Social,Turnover Karyawan (Sub-101),Persentase / Jam / Tingkat Kasus,72.82
METRIC-0102,Governance,Transparansi Pajak (Sub-102),Skor Indeks / Persentase / Sertifikasi,88.63
METRIC-0103,Environmental,Efisiensi Energi (Sub-103),Ton CO2e / M3 / MWh,97.5
METRIC-0104,Governance,Transparansi Pajak (Sub-104),Skor Indeks / Persentase / Sertifikasi,78.97
METRIC-0105,Social,Pelatihan Karyawan (Jam) (Sub-105),Persentase / Jam / Tingkat Kasus,88.8
METRIC-0106,Environmental,Efisiensi Energi (Sub-106),Ton CO2e / M3 / MWh,94.64
METRIC-0107,Governance,Independensi Dewan Komisaris (Sub-107),Skor Indeks / Persentase / Sertifikasi,85.35
METRIC-0108,Social,Rasio Kesetaraan Gender (Sub-108),Persentase / Jam / Tingkat Kasus,91.54
METRIC-0109,Social,Rasio Kesetaraan Gender (Sub-109),Persentase / Jam / Tingkat Kasus,79.33
METRIC-0110,Environmental,Konsumsi Air Bersih (Sub-110),Ton CO2e / M3 / MWh,79.18
METRIC-0111,Governance,Rasio Gaji Eksekutif (Sub-111),Skor Indeks / Persentase / Sertifikasi,90.03
METRIC-0112,Environmental,Efisiensi Energi (Sub-112),Ton CO2e / M3 / MWh,91.16
METRIC-0113,Environmental,Intensitas Karbon (Sub-113),Ton CO2e / M3 / MWh,98.11
METRIC-0114,Governance,Independensi Dewan Komisaris (Sub-114),Skor Indeks / Persentase / Sertifikasi,76.75
METRIC-0115,Governance,Transparansi Pajak (Sub-115),Skor Indeks / Persentase / Sertifikasi,84.05
METRIC-0116,Governance,Transparansi Pajak (Sub-116),Skor Indeks / Persentase / Sertifikasi,77.52
METRIC-0117,Social,Tingkat Kecelakaan Kerja (Sub-117),Persentase / Jam / Tingkat Kasus,72.4
METRIC-0118,Social,Turnover Karyawan (Sub-118),Persentase / Jam / Tingkat Kasus,82.1
METRIC-0119,Governance,Audit Keamanan Siber (Sub-119),Skor Indeks / Persentase / Sertifikasi,81.22
METRIC-0120,Social,Rasio Kesetaraan Gender (Sub-120),Persentase / Jam / Tingkat Kasus,78.11
METRIC-0121,Environmental,Intensitas Karbon (Sub-121),Ton CO2e / M3 / MWh,78.91
METRIC-0122,Governance,Independensi Dewan Komisaris (Sub-122),Skor Indeks / Persentase / Sertifikasi,80.81
METRIC-0123,Environmental,Intensitas Karbon (Sub-123),Ton CO2e / M3 / MWh,99.67
METRIC-0124,Governance,Audit Keamanan Siber (Sub-124),Skor Indeks / Persentase / Sertifikasi,93.49
METRIC-0125,Environmental,Intensitas Karbon (Sub-125),Ton CO2e / M3 / MWh,72.14
METRIC-0126,Governance,Independensi Dewan Komisaris (Sub-126),Skor Indeks / Persentase / Sertifikasi,96.17
METRIC-0127,Environmental,Efisiensi Energi (Sub-127),Ton CO2e / M3 / MWh,89.0
METRIC-0128,Governance,Independensi Dewan Komisaris (Sub-128),Skor Indeks / Persentase / Sertifikasi,96.72
METRIC-0129,Governance,Sertifikasi Anti-Korupsi (Sub-129),Skor Indeks / Persentase / Sertifikasi,80.25
METRIC-0130,Social,Tingkat Kecelakaan Kerja (Sub-130),Persentase / Jam / Tingkat Kasus,83.94
METRIC-0131,Environmental,Konsumsi Air Bersih (Sub-131),Ton CO2e / M3 / MWh,96.89
METRIC-0132,Social,Rasio Kesetaraan Gender (Sub-132),Persentase / Jam / Tingkat Kasus,78.18
METRIC-0133,Environmental,Efisiensi Energi (Sub-133),Ton CO2e / M3 / MWh,97.47
METRIC-0134,Social,Pelatihan Karyawan (Jam) (Sub-134),Persentase / Jam / Tingkat Kasus,94.85
METRIC-0135,Governance,Sertifikasi Anti-Korupsi (Sub-135),Skor Indeks / Persentase / Sertifikasi,99.42
METRIC-0136,Social,Tingkat Kecelakaan Kerja (Sub-136),Persentase / Jam / Tingkat Kasus,79.73
METRIC-0137,Social,Rasio Kesetaraan Gender (Sub-137),Persentase / Jam / Tingkat Kasus,77.07
METRIC-0138,Governance,Rasio Gaji Eksekutif (Sub-138),Skor Indeks / Persentase / Sertifikasi,79.93
METRIC-0139,Social,Pelatihan Karyawan (Jam) (Sub-139),Persentase / Jam / Tingkat Kasus,98.64
METRIC-0140,Governance,Sertifikasi Anti-Korupsi (Sub-140),Skor Indeks / Persentase / Sertifikasi,79.99
METRIC-0141,Environmental,Pengelolaan Limbah B3 (Sub-141),Ton CO2e / M3 / MWh,86.96
METRIC-0142,Social,Rasio Kesetaraan Gender (Sub-142),Persentase / Jam / Tingkat Kasus,82.11
METRIC-0143,Governance,Sertifikasi Anti-Korupsi (Sub-143),Skor Indeks / Persentase / Sertifikasi,81.89
METRIC-0144,Governance,Independensi Dewan Komisaris (Sub-144),Skor Indeks / Persentase / Sertifikasi,75.8
METRIC-0145,Social,Pelatihan Karyawan (Jam) (Sub-145),Persentase / Jam / Tingkat Kasus,86.11
METRIC-0146,Environmental,Intensitas Karbon (Sub-146),Ton CO2e / M3 / MWh,95.48
METRIC-0147,Social,Pelatihan Karyawan (Jam) (Sub-147),Persentase / Jam / Tingkat Kasus,71.48
METRIC-0148,Governance,Audit Keamanan Siber (Sub-148),Skor Indeks / Persentase / Sertifikasi,96.68
METRIC-0149,Environmental,Emisi GRK Scope 1 (Sub-149),Ton CO2e / M3 / MWh,89.96
METRIC-0150,Social,Pelatihan Karyawan (Jam) (Sub-150),Persentase / Jam / Tingkat Kasus,88.5
METRIC-0151,Governance,Transparansi Pajak (Sub-151),Skor Indeks / Persentase / Sertifikasi,88.78
METRIC-0152,Social,Tingkat Kecelakaan Kerja (Sub-152),Persentase / Jam / Tingkat Kasus,78.89
METRIC-0153,Environmental,Pengelolaan Limbah B3 (Sub-153),Ton CO2e / M3 / MWh,82.45
METRIC-0154,Environmental,Konsumsi Air Bersih (Sub-154),Ton CO2e / M3 / MWh,93.98
METRIC-0155,Environmental,Intensitas Karbon (Sub-155),Ton CO2e / M3 / MWh,79.19
METRIC-0156,Environmental,Konsumsi Air Bersih (Sub-156),Ton CO2e / M3 / MWh,84.1
METRIC-0157,Environmental,Konsumsi Air Bersih (Sub-157),Ton CO2e / M3 / MWh,70.59
METRIC-0158,Social,Tingkat Kecelakaan Kerja (Sub-158),Persentase / Jam / Tingkat Kasus,92.01
METRIC-0159,Environmental,Efisiensi Energi (Sub-159),Ton CO2e / M3 / MWh,82.53
METRIC-0160,Environmental,Pengelolaan Limbah B3 (Sub-160),Ton CO2e / M3 / MWh,85.76
METRIC-0161,Governance,Independensi Dewan Komisaris (Sub-161),Skor Indeks / Persentase / Sertifikasi,73.44
METRIC-0162,Environmental,Pengelolaan Limbah B3 (Sub-162),Ton CO2e / M3 / MWh,99.75
METRIC-0163,Governance,Audit Keamanan Siber (Sub-163),Skor Indeks / Persentase / Sertifikasi,79.07
METRIC-0164,Governance,Sertifikasi Anti-Korupsi (Sub-164),Skor Indeks / Persentase / Sertifikasi,89.05
METRIC-0165,Governance,Sertifikasi Anti-Korupsi (Sub-165),Skor Indeks / Persentase / Sertifikasi,87.44
METRIC-0166,Social,Tingkat Kecelakaan Kerja (Sub-166),Persentase / Jam / Tingkat Kasus,93.55
METRIC-0167,Social,Tingkat Kecelakaan Kerja (Sub-167),Persentase / Jam / Tingkat Kasus,78.82
METRIC-0168,Governance,Audit Keamanan Siber (Sub-168),Skor Indeks / Persentase / Sertifikasi,92.68
METRIC-0169,Social,Pelatihan Karyawan (Jam) (Sub-169),Persentase / Jam / Tingkat Kasus,81.48
METRIC-0170,Environmental,Emisi GRK Scope 1 (Sub-170),Ton CO2e / M3 / MWh,82.33
METRIC-0171,Social,Hubungan Komunitas Lokal (Sub-171),Persentase / Jam / Tingkat Kasus,90.18
METRIC-0172,Environmental,Efisiensi Energi (Sub-172),Ton CO2e / M3 / MWh,93.53
METRIC-0173,Environmental,Emisi GRK Scope 1 (Sub-173),Ton CO2e / M3 / MWh,90.01
METRIC-0174,Social,Rasio Kesetaraan Gender (Sub-174),Persentase / Jam / Tingkat Kasus,97.0
METRIC-0175,Social,Hubungan Komunitas Lokal (Sub-175),Persentase / Jam / Tingkat Kasus,78.55
METRIC-0176,Governance,Independensi Dewan Komisaris (Sub-176),Skor Indeks / Persentase / Sertifikasi,97.02
METRIC-0177,Social,Turnover Karyawan (Sub-177),Persentase / Jam / Tingkat Kasus,73.93
METRIC-0178,Social,Rasio Kesetaraan Gender (Sub-178),Persentase / Jam / Tingkat Kasus,89.79
METRIC-0179,Social,Turnover Karyawan (Sub-179),Persentase / Jam / Tingkat Kasus,86.43
METRIC-0180,Environmental,Emisi GRK Scope 1 (Sub-180),Ton CO2e / M3 / MWh,84.84
METRIC-0181,Environmental,Konsumsi Air Bersih (Sub-181),Ton CO2e / M3 / MWh,79.33
METRIC-0182,Environmental,Emisi GRK Scope 1 (Sub-182),Ton CO2e / M3 / MWh,85.11
METRIC-0183,Governance,Audit Keamanan Siber (Sub-183),Skor Indeks / Persentase / Sertifikasi,74.85
METRIC-0184,Governance,Independensi Dewan Komisaris (Sub-184),Skor Indeks / Persentase / Sertifikasi,81.08
METRIC-0185,Governance,Independensi Dewan Komisaris (Sub-185),Skor Indeks / Persentase / Sertifikasi,72.96
METRIC-0186,Environmental,Emisi GRK Scope 1 (Sub-186),Ton CO2e / M3 / MWh,87.16
METRIC-0187,Social,Turnover Karyawan (Sub-187),Persentase / Jam / Tingkat Kasus,72.87
METRIC-0188,Governance,Independensi Dewan Komisaris (Sub-188),Skor Indeks / Persentase / Sertifikasi,74.81
METRIC-0189,Governance,Rasio Gaji Eksekutif (Sub-189),Skor Indeks / Persentase / Sertifikasi,72.56
METRIC-0190,Environmental,Pengelolaan Limbah B3 (Sub-190),Ton CO2e / M3 / MWh,81.44
METRIC-0191,Governance,Audit Keamanan Siber (Sub-191),Skor Indeks / Persentase / Sertifikasi,95.26
METRIC-0192,Social,Tingkat Kecelakaan Kerja (Sub-192),Persentase / Jam / Tingkat Kasus,97.21
METRIC-0193,Environmental,Pengelolaan Limbah B3 (Sub-193),Ton CO2e / M3 / MWh,72.16
METRIC-0194,Environmental,Efisiensi Energi (Sub-194),Ton CO2e / M3 / MWh,89.04
METRIC-0195,Social,Hubungan Komunitas Lokal (Sub-195),Persentase / Jam / Tingkat Kasus,90.53
METRIC-0196,Social,Pelatihan Karyawan (Jam) (Sub-196),Persentase / Jam / Tingkat Kasus,86.01
METRIC-0197,Social,Turnover Karyawan (Sub-197),Persentase / Jam / Tingkat Kasus,90.01
METRIC-0198,Governance,Transparansi Pajak (Sub-198),Skor Indeks / Persentase / Sertifikasi,77.01
METRIC-0199,Social,Pelatihan Karyawan (Jam) (Sub-199),Persentase / Jam / Tingkat Kasus,84.69
METRIC-0200,Environmental,Efisiensi Energi (Sub-200),Ton CO2e / M3 / MWh,81.73
METRIC-0201,Social,Hubungan Komunitas Lokal (Sub-201),Persentase / Jam / Tingkat Kasus,72.69
METRIC-0202,Environmental,Efisiensi Energi (Sub-202),Ton CO2e / M3 / MWh,88.77
METRIC-0203,Environmental,Intensitas Karbon (Sub-203),Ton CO2e / M3 / MWh,84.86
METRIC-0204,Governance,Audit Keamanan Siber (Sub-204),Skor Indeks / Persentase / Sertifikasi,78.26
METRIC-0205,Social,Turnover Karyawan (Sub-205),Persentase / Jam / Tingkat Kasus,84.21
METRIC-0206,Governance,Rasio Gaji Eksekutif (Sub-206),Skor Indeks / Persentase / Sertifikasi,93.26
METRIC-0207,Social,Tingkat Kecelakaan Kerja (Sub-207),Persentase / Jam / Tingkat Kasus,94.05
METRIC-0208,Social,Hubungan Komunitas Lokal (Sub-208),Persentase / Jam / Tingkat Kasus,89.49
METRIC-0209,Social,Turnover Karyawan (Sub-209),Persentase / Jam / Tingkat Kasus,84.03
METRIC-0210,Social,Hubungan Komunitas Lokal (Sub-210),Persentase / Jam / Tingkat Kasus,87.27
METRIC-0211,Social,Turnover Karyawan (Sub-211),Persentase / Jam / Tingkat Kasus,81.55
METRIC-0212,Environmental,Emisi GRK Scope 1 (Sub-212),Ton CO2e / M3 / MWh,73.8
METRIC-0213,Environmental,Emisi GRK Scope 1 (Sub-213),Ton CO2e / M3 / MWh,81.57
METRIC-0214,Social,Pelatihan Karyawan (Jam) (Sub-214),Persentase / Jam / Tingkat Kasus,85.91
METRIC-0215,Environmental,Konsumsi Air Bersih (Sub-215),Ton CO2e / M3 / MWh,87.97
METRIC-0216,Governance,Independensi Dewan Komisaris (Sub-216),Skor Indeks / Persentase / Sertifikasi,98.07
METRIC-0217,Governance,Audit Keamanan Siber (Sub-217),Skor Indeks / Persentase / Sertifikasi,93.32
METRIC-0218,Governance,Rasio Gaji Eksekutif (Sub-218),Skor Indeks / Persentase / Sertifikasi,74.56
METRIC-0219,Social,Hubungan Komunitas Lokal (Sub-219),Persentase / Jam / Tingkat Kasus,75.23
METRIC-0220,Social,Pelatihan Karyawan (Jam) (Sub-220),Persentase / Jam / Tingkat Kasus,73.01
METRIC-0221,Environmental,Pengelolaan Limbah B3 (Sub-221),Ton CO2e / M3 / MWh,92.15
METRIC-0222,Environmental,Emisi GRK Scope 1 (Sub-222),Ton CO2e / M3 / MWh,91.18
METRIC-0223,Environmental,Pengelolaan Limbah B3 (Sub-223),Ton CO2e / M3 / MWh,99.59
METRIC-0224,Governance,Independensi Dewan Komisaris (Sub-224),Skor Indeks / Persentase / Sertifikasi,85.66
METRIC-0225,Governance,Independensi Dewan Komisaris (Sub-225),Skor Indeks / Persentase / Sertifikasi,94.79
METRIC-0226,Governance,Transparansi Pajak (Sub-226),Skor Indeks / Persentase / Sertifikasi,87.29
METRIC-0227,Governance,Sertifikasi Anti-Korupsi (Sub-227),Skor Indeks / Persentase / Sertifikasi,96.22
METRIC-0228,Environmental,Intensitas Karbon (Sub-228),Ton CO2e / M3 / MWh,91.63
METRIC-0229,Social,Rasio Kesetaraan Gender (Sub-229),Persentase / Jam / Tingkat Kasus,89.29
METRIC-0230,Social,Pelatihan Karyawan (Jam) (Sub-230),Persentase / Jam / Tingkat Kasus,86.95
METRIC-0231,Governance,Audit Keamanan Siber (Sub-231),Skor Indeks / Persentase / Sertifikasi,91.69
METRIC-0232,Social,Hubungan Komunitas Lokal (Sub-232),Persentase / Jam / Tingkat Kasus,82.59
METRIC-0233,Social,Pelatihan Karyawan (Jam) (Sub-233),Persentase / Jam / Tingkat Kasus,72.9
METRIC-0234,Social,Pelatihan Karyawan (Jam) (Sub-234),Persentase / Jam / Tingkat Kasus,71.2
METRIC-0235,Governance,Sertifikasi Anti-Korupsi (Sub-235),Skor Indeks / Persentase / Sertifikasi,84.37
METRIC-0236,Environmental,Pengelolaan Limbah B3 (Sub-236),Ton CO2e / M3 / MWh,87.98
METRIC-0237,Environmental,Pengelolaan Limbah B3 (Sub-237),Ton CO2e / M3 / MWh,72.37
METRIC-0238,Social,Pelatihan Karyawan (Jam) (Sub-238),Persentase / Jam / Tingkat Kasus,78.61
METRIC-0239,Environmental,Konsumsi Air Bersih (Sub-239),Ton CO2e / M3 / MWh,79.66
METRIC-0240,Environmental,Emisi GRK Scope 1 (Sub-240),Ton CO2e / M3 / MWh,86.88
METRIC-0241,Governance,Rasio Gaji Eksekutif (Sub-241),Skor Indeks / Persentase / Sertifikasi,78.35
METRIC-0242,Governance,Transparansi Pajak (Sub-242),Skor Indeks / Persentase / Sertifikasi,72.87
METRIC-0243,Social,Hubungan Komunitas Lokal (Sub-243),Persentase / Jam / Tingkat Kasus,74.95
METRIC-0244,Social,Pelatihan Karyawan (Jam) (Sub-244),Persentase / Jam / Tingkat Kasus,75.22
METRIC-0245,Social,Tingkat Kecelakaan Kerja (Sub-245),Persentase / Jam / Tingkat Kasus,95.28
METRIC-0246,Governance,Audit Keamanan Siber (Sub-246),Skor Indeks / Persentase / Sertifikasi,78.53
METRIC-0247,Environmental,Emisi GRK Scope 1 (Sub-247),Ton CO2e / M3 / MWh,91.44
METRIC-0248,Governance,Independensi Dewan Komisaris (Sub-248),Skor Indeks / Persentase / Sertifikasi,87.04
METRIC-0249,Governance,Rasio Gaji Eksekutif (Sub-249),Skor Indeks / Persentase / Sertifikasi,99.31
METRIC-0250,Environmental,Emisi GRK Scope 1 (Sub-250),Ton CO2e / M3 / MWh,78.18
METRIC-0251,Environmental,Intensitas Karbon (Sub-251),Ton CO2e / M3 / MWh,74.75
METRIC-0252,Social,Tingkat Kecelakaan Kerja (Sub-252),Persentase / Jam / Tingkat Kasus,71.56
METRIC-0253,Environmental,Konsumsi Air Bersih (Sub-253),Ton CO2e / M3 / MWh,77.23
METRIC-0254,Environmental,Efisiensi Energi (Sub-254),Ton CO2e / M3 / MWh,90.52
METRIC-0255,Environmental,Konsumsi Air Bersih (Sub-255),Ton CO2e / M3 / MWh,72.56
